SN,Commodity,Date,Unit,Minimum,Maximum,Average
14,French Bean(Local),16-06-2013,Kg,25,30,27.5
88,French Bean(Local),17-06-2013,Kg,30,35,32.5
161,French Bean(Local),18-06-2013,Kg,30,35,32.5
234,French Bean(Local),19-06-2013,Kg,30,35,32.5
307,French Bean(Local),20-06-2013,Kg,30,40,35.0
381,French Bean(Local),21-06-2013,Kg,35,40,37.5
455,French Bean(Local),25-06-2013,Kg,35,40,37.5
527,French Bean(Local),26-06-2013,Kg,35,40,37.5
600,French Bean(Local),27-06-2013,Kg,38,42,40.0
671,French Bean(Local),28-06-2013,Kg,35,40,37.5
742,French Bean(Local),30-06-2013,Kg,38,40,39.0
811,French Bean(Local),01-07-2013,Kg,38,40,39.0
880,French Bean(Local),02-07-2013,Kg,35,40,37.5
950,French Bean(Local),03-07-2013,Kg,35,40,37.5
1020,French Bean(Local),04-07-2013,Kg,35,40,37.5
1090,French Bean(Local),05-07-2013,Kg,35,40,37.5
1159,French Bean(Local),09-07-2013,Kg,35,40,37.5
1229,French Bean(Local),10-07-2013,Kg,35,40,37.5
1299,French Bean(Local),11-07-2013,Kg,35,40,37.5
1368,French Bean(Local),12-07-2013,Kg,30,35,32.5
1438,French Bean(Local),14-07-2013,Kg,30,35,32.5
1507,French Bean(Local),15-07-2013,Kg,35,40,37.5
1576,French Bean(Local),16-07-2013,Kg,40,45,42.5
1645,French Bean(Local),17-07-2013,Kg,40,45,42.5
1716,French Bean(Local),18-07-2013,Kg,40,45,42.5
1787,French Bean(Local),19-07-2013,Kg,30,35,32.5
1857,French Bean(Local),21-07-2013,Kg,35,40,37.5
1929,French Bean(Local),22-07-2013,Kg,30,35,32.5
1999,French Bean(Local),23-07-2013,Kg,35,40,37.5
2068,French Bean(Local),24-07-2013,Kg,30,35,32.5
2138,French Bean(Local),25-07-2013,Kg,30,35,32.5
2208,French Bean(Local),26-07-2013,Kg,30,35,32.5
2276,French Bean(Local),28-07-2013,Kg,35,40,37.5
2345,French Bean(Local),29-07-2013,Kg,30,35,32.5
2413,French Bean(Local),30-07-2013,Kg,35,40,37.5
2480,French Bean(Local),31-07-2013,Kg,30,35,32.5
2546,French Bean(Local),01-08-2013,Kg,40,45,42.5
2614,French Bean(Local),02-08-2013,Kg,40,50,45.0
2681,French Bean(Local),04-08-2013,Kg,40,45,42.5
2748,French Bean(Local),05-08-2013,Kg,40,50,45.0
2814,French Bean(Local),06-08-2013,Kg,45,50,47.5
2879,French Bean(Local),07-08-2013,Kg,50,55,52.5
2945,French Bean(Local),08-08-2013,Kg,50,55,52.5
3014,French Bean(Local),12-08-2013,Kg,55,60,57.5
3053,French Bean(Local),13-08-2013,Kg,50,55,52.5
3121,French Bean(Local),14-08-2013,Kg,50,55,52.5
3191,French Bean(Local),15-08-2013,Kg,55,60,57.5
3259,French Bean(Local),16-08-2013,Kg,50,55,52.5
3330,French Bean(Local),18-08-2013,Kg,60,70,65.0
3401,French Bean(Local),19-08-2013,Kg,60,65,62.5
3471,French Bean(Local),20-08-2013,Kg,55,60,57.5
3542,French Bean(Local),23-08-2013,Kg,55,60,57.5
3613,French Bean(Local),25-08-2013,Kg,45,50,47.5
3684,French Bean(Local),26-08-2013,Kg,55,60,57.5
3755,French Bean(Local),27-08-2013,Kg,60,65,62.5
3825,French Bean(Local),29-08-2013,Kg,55,60,57.5
3894,French Bean(Local),30-08-2013,Kg,50,55,52.5
3965,French Bean(Local),01-09-2013,Kg,60,65,62.5
4033,French Bean(Local),02-09-2013,Kg,60,65,62.5
4101,French Bean(Local),03-09-2013,Kg,60,65,62.5
4169,French Bean(Local),04-09-2013,Kg,60,65,62.5
4239,French Bean(Local),05-09-2013,Kg,55,60,57.5
4309,French Bean(Local),06-09-2013,Kg,60,65,62.5
4379,French Bean(Local),08-09-2013,Kg,60,70,65.0
4450,French Bean(Local),09-09-2013,Kg,60,65,62.5
4521,French Bean(Local),10-09-2013,Kg,70,80,75.0
4592,French Bean(Local),11-09-2013,Kg,55,65,60.0
4663,French Bean(Local),12-09-2013,Kg,55,60,57.5
4733,French Bean(Local),13-09-2013,Kg,48,52,50.0
4802,French Bean(Local),15-09-2013,Kg,55,60,57.5
4871,French Bean(Local),16-09-2013,Kg,45,50,47.5
4941,French Bean(Local),17-09-2013,Kg,50,55,52.5
5011,French Bean(Local),19-09-2013,Kg,40,45,42.5
5081,French Bean(Local),20-09-2013,Kg,35,40,37.5
5150,French Bean(Local),22-09-2013,Kg,30,35,32.5
5220,French Bean(Local),23-09-2013,Kg,28,32,30.0
5292,French Bean(Local),24-09-2013,Kg,25,30,27.5
5364,French Bean(Local),25-09-2013,Kg,25,30,27.5
5435,French Bean(Local),26-09-2013,Kg,28,32,30.0
5506,French Bean(Local),27-09-2013,Kg,30,32,31.0
5578,French Bean(Local),29-09-2013,Kg,35,40,37.5
5651,French Bean(Local),30-09-2013,Kg,30,35,32.5
5722,French Bean(Local),01-10-2013,Kg,35,40,37.5
5795,French Bean(Local),02-10-2013,Kg,40,45,42.5
5869,French Bean(Local),03-10-2013,Kg,35,40,37.5
5942,French Bean(Local),04-10-2013,Kg,40,45,42.5
6015,French Bean(Local),06-10-2013,Kg,40,50,45.0
6089,French Bean(Local),07-10-2013,Kg,50,60,55.0
6164,French Bean(Local),08-10-2013,Kg,40,45,42.5
6239,French Bean(Local),09-10-2013,Kg,40,45,42.5
6314,French Bean(Local),10-10-2013,Kg,50,60,55.0
6389,French Bean(Local),11-10-2013,Kg,50,55,52.5
6463,French Bean(Local),12-10-2013,Kg,40,45,42.5
6530,French Bean(Local),13-10-2013,Kg,40,50,45.0
6643,French Bean(Local),16-10-2013,Kg,70,80,75.0
6709,French Bean(Local),17-10-2013,Kg,45,50,47.5
6777,French Bean(Local),20-10-2013,Kg,25,30,27.5
6851,French Bean(Local),21-10-2013,Kg,35,40,37.5
6920,French Bean(Local),22-10-2013,Kg,35,40,37.5
6992,French Bean(Local),23-10-2013,Kg,40,50,45.0
7061,French Bean(Local),24-10-2013,Kg,60,65,62.5
7132,French Bean(Local),25-10-2013,Kg,65,70,67.5
7205,French Bean(Local),27-10-2013,Kg,55,65,60.0
7277,French Bean(Local),28-10-2013,Kg,55,60,57.5
7350,French Bean(Local),29-10-2013,Kg,50,60,55.0
7424,French Bean(Local),30-10-2013,Kg,50,55,52.5
7498,French Bean(Local),31-10-2013,Kg,50,60,55.0
7570,French Bean(Local),01-11-2013,Kg,55,60,57.5
7643,French Bean(Local),03-11-2013,Kg,40,50,45.0
7715,French Bean(Local),04-11-2013,Kg,50,60,55.0
7787,French Bean(Local),05-11-2013,Kg,40,50,45.0
7842,French Bean(Local),06-11-2013,Kg,55,60,57.5
7891,French Bean(Local),07-11-2013,Kg,60,70,65.0
7956,French Bean(Local),10-11-2013,Kg,45,50,47.5
8020,French Bean(Local),11-11-2013,Kg,40,50,45.0
8081,French Bean(Local),12-11-2013,Kg,40,48,44.0
8145,French Bean(Local),13-11-2013,Kg,45,50,47.5
8209,French Bean(Local),14-11-2013,Kg,60,65,62.5
8272,French Bean(Local),15-11-2013,Kg,40,46,43.0
8337,French Bean(Local),16-11-2013,Kg,50,60,55.0
8403,French Bean(Local),17-11-2013,Kg,38,48,43.0
8468,French Bean(Local),18-11-2013,Kg,40,48,44.0
8531,French Bean(Local),20-11-2013,Kg,55,65,60.0
8595,French Bean(Local),21-11-2013,Kg,40,50,45.0
8663,French Bean(Local),22-11-2013,Kg,40,50,45.0
8734,French Bean(Local),24-11-2013,Kg,40,45,42.5
8804,French Bean(Local),25-11-2013,Kg,40,50,45.0
8873,French Bean(Local),26-11-2013,Kg,35,40,37.5
8942,French Bean(Local),27-11-2013,Kg,40,45,42.5
9011,French Bean(Local),28-11-2013,Kg,45,50,47.5
9080,French Bean(Local),29-11-2013,Kg,40,50,45.0
9152,French Bean(Local),01-12-2013,Kg,55,60,57.5
9224,French Bean(Local),02-12-2013,Kg,45,50,47.5
9294,French Bean(Local),03-12-2013,Kg,45,50,47.5
9367,French Bean(Local),04-12-2013,Kg,40,50,45.0
9439,French Bean(Local),05-12-2013,Kg,40,45,42.5
9511,French Bean(Local),06-12-2013,Kg,40,45,42.5
9583,French Bean(Local),08-12-2013,Kg,45,50,47.5
9654,French Bean(Local),09-12-2013,Kg,40,45,42.5
9727,French Bean(Local),10-12-2013,Kg,45,55,50.0
9800,French Bean(Local),11-12-2013,Kg,45,50,47.5
9870,French Bean(Local),12-12-2013,Kg,50,55,52.5
9941,French Bean(Local),13-12-2013,Kg,50,55,52.5
10012,French Bean(Local),15-12-2013,Kg,50,60,55.0
10084,French Bean(Local),16-12-2013,Kg,45,50,47.5
10157,French Bean(Local),18-12-2013,Kg,50,55,52.5
10232,French Bean(Local),19-12-2013,Kg,50,60,55.0
10306,French Bean(Local),20-12-2013,Kg,45,55,50.0
10381,French Bean(Local),22-12-2013,Kg,50,60,55.0
10454,French Bean(Local),23-12-2013,Kg,55,60,57.5
10531,French Bean(Local),24-12-2013,Kg,55,65,60.0
10608,French Bean(Local),26-12-2013,Kg,55,60,57.5
10683,French Bean(Local),27-12-2013,Kg,55,60,57.5
10757,French Bean(Local),29-12-2013,Kg,55,60,57.5
10834,French Bean(Local),31-12-2013,Kg,55,60,57.5
10911,French Bean(Local),01-01-2014,Kg,55,60,57.5
10989,French Bean(Local),02-01-2014,Kg,55,60,57.5
11067,French Bean(Local),03-01-2014,Kg,60,65,62.5
11144,French Bean(Local),05-01-2014,Kg,55,60,57.5
11220,French Bean(Local),06-01-2014,Kg,50,55,52.5
11297,French Bean(Local),07-01-2014,Kg,50,55,52.5
11375,French Bean(Local),08-01-2014,Kg,50,55,52.5
11452,French Bean(Local),09-01-2014,Kg,50,55,52.5
11530,French Bean(Local),10-01-2014,Kg,45,50,47.5
11607,French Bean(Local),12-01-2014,Kg,45,50,47.5
11684,French Bean(Local),13-01-2014,Kg,50,55,52.5
11761,French Bean(Local),14-01-2014,Kg,50,60,55.0
11838,French Bean(Local),16-01-2014,Kg,50,55,52.5
11914,French Bean(Local),17-01-2014,Kg,55,60,57.5
11989,French Bean(Local),19-01-2014,Kg,45,50,47.5
12066,French Bean(Local),20-01-2014,Kg,40,45,42.5
12143,French Bean(Local),21-01-2014,Kg,40,45,42.5
12218,French Bean(Local),22-01-2014,Kg,40,50,45.0
12292,French Bean(Local),23-01-2014,Kg,40,50,45.0
12367,French Bean(Local),24-01-2014,Kg,40,50,45.0
12443,French Bean(Local),26-01-2014,Kg,40,45,42.5
12515,French Bean(Local),27-01-2014,Kg,35,40,37.5
12589,French Bean(Local),28-01-2014,Kg,40,45,42.5
12664,French Bean(Local),29-01-2014,Kg,35,40,37.5
12740,French Bean(Local),02-02-2014,Kg,30,35,32.5
12815,French Bean(Local),03-02-2014,Kg,40,45,42.5
12890,French Bean(Local),04-02-2014,Kg,40,45,42.5
12965,French Bean(Local),05-02-2014,Kg,48,55,51.5
13039,French Bean(Local),06-02-2014,Kg,50,55,52.5
13111,French Bean(Local),07-02-2014,Kg,45,50,47.5
13180,French Bean(Local),08-02-2014,Kg,56,60,58.0
13209,French Bean(Local),09-02-2014,Kg,50,55,52.5
13284,French Bean(Local),10-02-2014,Kg,35,45,40.0
13359,French Bean(Local),11-02-2014,Kg,40,45,42.5
13433,French Bean(Local),12-02-2014,Kg,40,45,42.5
13510,French Bean(Local),13-02-2014,Kg,55,60,57.5
13586,French Bean(Local),14-02-2014,Kg,55,60,57.5
13662,French Bean(Local),16-02-2014,Kg,60,65,62.5
13739,French Bean(Local),17-02-2014,Kg,60,65,62.5
13814,French Bean(Local),18-02-2014,Kg,60,65,62.5
13891,French Bean(Local),20-02-2014,Kg,50,55,52.5
13967,French Bean(Local),21-02-2014,Kg,40,45,42.5
