SN,Commodity,Date,Unit,Minimum,Maximum,Average
36,Brocauli,16-06-2013,Kg,70,80,75.0
109,Brocauli,17-06-2013,Kg,70,80,75.0
182,Brocauli,18-06-2013,Kg,70,80,75.0
256,Brocauli,19-06-2013,Kg,70,80,75.0
329,Brocauli,20-06-2013,Kg,70,80,75.0
403,Brocauli,21-06-2013,Kg,70,80,75.0
477,Brocauli,25-06-2013,Kg,70,80,75.0
550,Brocauli,26-06-2013,Kg,70,80,75.0
3281,Brocauli,16-08-2013,Kg,140,150,145.0
3352,Brocauli,18-08-2013,Kg,145,150,147.5
3423,Brocauli,19-08-2013,Kg,140,150,145.0
3493,Brocauli,20-08-2013,Kg,140,150,145.0
3564,Brocauli,23-08-2013,Kg,90,100,95.0
3635,Brocauli,25-08-2013,Kg,90,100,95.0
3706,Brocauli,26-08-2013,Kg,90,100,95.0
3777,Brocauli,27-08-2013,Kg,90,100,95.0
3847,Brocauli,29-08-2013,Kg,100,110,105.0
3916,Brocauli,30-08-2013,Kg,90,100,95.0
3986,Brocauli,01-09-2013,Kg,90,100,95.0
4055,Brocauli,02-09-2013,Kg,90,100,95.0
4122,Brocauli,03-09-2013,Kg,90,100,95.0
4192,Brocauli,04-09-2013,Kg,150,160,155.0
4262,Brocauli,05-09-2013,Kg,150,160,155.0
4332,Brocauli,06-09-2013,Kg,140,150,145.0
4402,Brocauli,08-09-2013,Kg,140,150,145.0
4473,Brocauli,09-09-2013,Kg,140,150,145.0
4544,Brocauli,10-09-2013,Kg,140,150,145.0
4615,Brocauli,11-09-2013,Kg,140,150,145.0
4686,Brocauli,12-09-2013,Kg,140,150,145.0
4756,Brocauli,13-09-2013,Kg,140,150,145.0
4825,Brocauli,15-09-2013,Kg,140,150,145.0
4894,Brocauli,16-09-2013,Kg,140,150,145.0
4964,Brocauli,17-09-2013,Kg,140,150,145.0
5034,Brocauli,19-09-2013,Kg,140,150,145.0
5103,Brocauli,20-09-2013,Kg,140,150,145.0
5173,Brocauli,22-09-2013,Kg,140,150,145.0
5244,Brocauli,23-09-2013,Kg,140,150,145.0
5316,Brocauli,24-09-2013,Kg,140,150,145.0
5387,Brocauli,25-09-2013,Kg,140,150,145.0
5457,Brocauli,26-09-2013,Kg,140,150,145.0
5529,Brocauli,27-09-2013,Kg,140,150,145.0
5602,Brocauli,29-09-2013,Kg,140,150,145.0
5675,Brocauli,30-09-2013,Kg,140,150,145.0
5746,Brocauli,01-10-2013,Kg,140,150,145.0
5819,Brocauli,02-10-2013,Kg,140,150,145.0
5892,Brocauli,03-10-2013,Kg,140,150,145.0
5966,Brocauli,04-10-2013,Kg,140,150,145.0
6038,Brocauli,06-10-2013,Kg,140,150,145.0
6113,Brocauli,07-10-2013,Kg,140,150,145.0
6188,Brocauli,08-10-2013,Kg,150,160,155.0
6262,Brocauli,09-10-2013,Kg,140,150,145.0
6337,Brocauli,10-10-2013,Kg,140,150,145.0
6412,Brocauli,11-10-2013,Kg,140,150,145.0
6659,Brocauli,16-10-2013,Kg,180,200,190.0
6730,Brocauli,17-10-2013,Kg,140,150,145.0
6799,Brocauli,20-10-2013,Kg,130,140,135.0
6872,Brocauli,21-10-2013,Kg,70,80,75.0
6942,Brocauli,22-10-2013,Kg,80,90,85.0
7013,Brocauli,23-10-2013,Kg,80,90,85.0
7083,Brocauli,24-10-2013,Kg,80,90,85.0
7154,Brocauli,25-10-2013,Kg,70,80,75.0
7226,Brocauli,27-10-2013,Kg,80,90,85.0
7299,Brocauli,28-10-2013,Kg,80,90,85.0
7373,Brocauli,29-10-2013,Kg,90,100,95.0
7447,Brocauli,30-10-2013,Kg,80,90,85.0
7519,Brocauli,31-10-2013,Kg,80,90,85.0
7593,Brocauli,01-11-2013,Kg,90,100,95.0
7665,Brocauli,03-11-2013,Kg,80,90,85.0
7736,Brocauli,04-11-2013,Kg,70,80,75.0
7802,Brocauli,05-11-2013,Kg,80,90,85.0
7854,Brocauli,06-11-2013,Kg,80,90,85.0
7909,Brocauli,07-11-2013,Kg,70,80,75.0
7975,Brocauli,10-11-2013,Kg,80,90,85.0
8039,Brocauli,11-11-2013,Kg,70,80,75.0
8099,Brocauli,12-11-2013,Kg,70,80,75.0
8164,Brocauli,13-11-2013,Kg,80,90,85.0
8228,Brocauli,14-11-2013,Kg,70,80,75.0
8291,Brocauli,15-11-2013,Kg,70,80,75.0
8357,Brocauli,16-11-2013,Kg,70,80,75.0
8422,Brocauli,17-11-2013,Kg,70,80,75.0
8487,Brocauli,18-11-2013,Kg,70,75,72.5
8547,Brocauli,20-11-2013,Kg,80,90,85.0
8615,Brocauli,21-11-2013,Kg,50,60,55.0
8686,Brocauli,22-11-2013,Kg,45,50,47.5
8756,Brocauli,24-11-2013,Kg,50,60,55.0
8826,Brocauli,25-11-2013,Kg,45,50,47.5
8896,Brocauli,26-11-2013,Kg,40,45,42.5
8964,Brocauli,27-11-2013,Kg,40,50,45.0
9033,Brocauli,28-11-2013,Kg,40,50,45.0
9102,Brocauli,29-11-2013,Kg,40,45,42.5
9174,Brocauli,01-12-2013,Kg,30,40,35.0
9246,Brocauli,02-12-2013,Kg,38,40,39.0
9317,Brocauli,03-12-2013,Kg,30,35,32.5
9389,Brocauli,04-12-2013,Kg,30,40,35.0
9461,Brocauli,05-12-2013,Kg,30,35,32.5
9533,Brocauli,06-12-2013,Kg,35,40,37.5
9604,Brocauli,08-12-2013,Kg,35,40,37.5
9675,Brocauli,09-12-2013,Kg,40,45,42.5
