SN,Commodity,Date,Unit,Minimum,Maximum,Average
6,Cabbage(Local),16-06-2013,Kg,6,10,8.0
80,Cabbage(Local),17-06-2013,Kg,6,10,8.0
153,Cabbage(Local),18-06-2013,Kg,8,10,9.0
226,Cabbage(Local),19-06-2013,Kg,10,15,12.5
299,Cabbage(Local),20-06-2013,Kg,10,15,12.5
373,Cabbage(Local),21-06-2013,Kg,8,12,10.0
447,Cabbage(Local),25-06-2013,Kg,10,15,12.5
520,Cabbage(Local),26-06-2013,Kg,10,15,12.5
593,Cabbage(Local),27-06-2013,Kg,10,14,12.0
665,Cabbage(Local),28-06-2013,Kg,10,14,12.0
735,Cabbage(Local),30-06-2013,Kg,12,15,13.5
805,Cabbage(Local),01-07-2013,Kg,10,14,12.0
875,Cabbage(Local),02-07-2013,Kg,10,14,12.0
944,Cabbage(Local),03-07-2013,Kg,10,12,11.0
1014,Cabbage(Local),04-07-2013,Kg,12,16,14.0
1084,Cabbage(Local),05-07-2013,Kg,12,16,14.0
1153,Cabbage(Local),09-07-2013,Kg,12,16,14.0
1223,Cabbage(Local),10-07-2013,Kg,14,16,15.0
1293,Cabbage(Local),11-07-2013,Kg,14,16,15.0
1362,Cabbage(Local),12-07-2013,Kg,12,16,14.0
1432,Cabbage(Local),14-07-2013,Kg,14,16,15.0
1502,Cabbage(Local),15-07-2013,Kg,14,16,15.0
1570,Cabbage(Local),16-07-2013,Kg,14,16,15.0
1639,Cabbage(Local),17-07-2013,Kg,14,16,15.0
1710,Cabbage(Local),18-07-2013,Kg,14,18,16.0
1781,Cabbage(Local),19-07-2013,Kg,14,18,16.0
1851,Cabbage(Local),21-07-2013,Kg,16,18,17.0
1922,Cabbage(Local),22-07-2013,Kg,14,18,16.0
1993,Cabbage(Local),23-07-2013,Kg,18,20,19.0
2062,Cabbage(Local),24-07-2013,Kg,16,20,18.0
2131,Cabbage(Local),25-07-2013,Kg,16,20,18.0
2201,Cabbage(Local),26-07-2013,Kg,18,20,19.0
2269,Cabbage(Local),28-07-2013,Kg,16,20,18.0
2339,Cabbage(Local),29-07-2013,Kg,20,24,22.0
2407,Cabbage(Local),30-07-2013,Kg,20,24,22.0
2474,Cabbage(Local),31-07-2013,Kg,22,24,23.0
2540,Cabbage(Local),01-08-2013,Kg,20,24,22.0
2607,Cabbage(Local),02-08-2013,Kg,35,40,37.5
2675,Cabbage(Local),04-08-2013,Kg,28,30,29.0
2742,Cabbage(Local),05-08-2013,Kg,28,30,29.0
2808,Cabbage(Local),06-08-2013,Kg,34,36,35.0
2873,Cabbage(Local),07-08-2013,Kg,30,35,32.5
2939,Cabbage(Local),08-08-2013,Kg,30,34,32.0
3007,Cabbage(Local),12-08-2013,Kg,30,34,32.0
3047,Cabbage(Local),13-08-2013,Kg,30,35,32.5
3115,Cabbage(Local),14-08-2013,Kg,32,34,33.0
3185,Cabbage(Local),15-08-2013,Kg,35,40,37.5
3253,Cabbage(Local),16-08-2013,Kg,30,35,32.5
3324,Cabbage(Local),18-08-2013,Kg,38,40,39.0
3395,Cabbage(Local),19-08-2013,Kg,35,40,37.5
3465,Cabbage(Local),20-08-2013,Kg,35,40,37.5
3536,Cabbage(Local),23-08-2013,Kg,40,44,42.0
3607,Cabbage(Local),25-08-2013,Kg,40,42,41.0
3678,Cabbage(Local),26-08-2013,Kg,40,44,42.0
3749,Cabbage(Local),27-08-2013,Kg,40,45,42.5
3819,Cabbage(Local),29-08-2013,Kg,40,44,42.0
3888,Cabbage(Local),30-08-2013,Kg,40,44,42.0
3959,Cabbage(Local),01-09-2013,Kg,40,45,42.5
4027,Cabbage(Local),02-09-2013,Kg,40,44,42.0
4096,Cabbage(Local),03-09-2013,Kg,50,60,55.0
4163,Cabbage(Local),04-09-2013,Kg,50,55,52.5
4233,Cabbage(Local),05-09-2013,Kg,40,45,42.5
4303,Cabbage(Local),06-09-2013,Kg,50,55,52.5
4373,Cabbage(Local),08-09-2013,Kg,45,50,47.5
4444,Cabbage(Local),09-09-2013,Kg,40,45,42.5
4515,Cabbage(Local),10-09-2013,Kg,40,47,43.5
4586,Cabbage(Local),11-09-2013,Kg,40,46,43.0
4657,Cabbage(Local),12-09-2013,Kg,40,45,42.5
4727,Cabbage(Local),13-09-2013,Kg,40,45,42.5
4796,Cabbage(Local),15-09-2013,Kg,40,45,42.5
4865,Cabbage(Local),16-09-2013,Kg,40,46,43.0
4935,Cabbage(Local),17-09-2013,Kg,40,44,42.0
5005,Cabbage(Local),19-09-2013,Kg,40,45,42.5
5075,Cabbage(Local),20-09-2013,Kg,40,42,41.0
5144,Cabbage(Local),22-09-2013,Kg,40,45,42.5
5215,Cabbage(Local),23-09-2013,Kg,35,40,37.5
5286,Cabbage(Local),24-09-2013,Kg,40,42,41.0
5358,Cabbage(Local),25-09-2013,Kg,35,40,37.5
5429,Cabbage(Local),26-09-2013,Kg,38,40,39.0
5500,Cabbage(Local),27-09-2013,Kg,35,40,37.5
5572,Cabbage(Local),29-09-2013,Kg,30,35,32.5
5645,Cabbage(Local),30-09-2013,Kg,30,34,32.0
5788,Cabbage(Local),02-10-2013,Kg,32,36,34.0
5862,Cabbage(Local),03-10-2013,Kg,30,32,31.0
5935,Cabbage(Local),04-10-2013,Kg,28,32,30.0
6009,Cabbage(Local),06-10-2013,Kg,35,40,37.5
6081,Cabbage(Local),07-10-2013,Kg,30,35,32.5
6156,Cabbage(Local),08-10-2013,Kg,28,32,30.0
6231,Cabbage(Local),09-10-2013,Kg,30,32,31.0
6306,Cabbage(Local),10-10-2013,Kg,30,35,32.5
6381,Cabbage(Local),11-10-2013,Kg,30,35,32.5
6456,Cabbage(Local),12-10-2013,Kg,28,30,29.0
6526,Cabbage(Local),13-10-2013,Kg,35,40,37.5
6564,Cabbage(Local),14-10-2013,Kg,35,40,37.5
6600,Cabbage(Local),15-10-2013,Kg,38,40,39.0
6637,Cabbage(Local),16-10-2013,Kg,35,40,37.5
6702,Cabbage(Local),17-10-2013,Kg,35,40,37.5
6770,Cabbage(Local),20-10-2013,Kg,24,28,26.0
6843,Cabbage(Local),21-10-2013,Kg,20,25,22.5
6915,Cabbage(Local),22-10-2013,Kg,25,30,27.5
6986,Cabbage(Local),23-10-2013,Kg,25,30,27.5
7055,Cabbage(Local),24-10-2013,Kg,30,35,32.5
7125,Cabbage(Local),25-10-2013,Kg,25,30,27.5
7197,Cabbage(Local),27-10-2013,Kg,25,30,27.5
7269,Cabbage(Local),28-10-2013,Kg,28,32,30.0
7342,Cabbage(Local),29-10-2013,Kg,35,40,37.5
7416,Cabbage(Local),30-10-2013,Kg,34,38,36.0
7490,Cabbage(Local),31-10-2013,Kg,30,35,32.5
7562,Cabbage(Local),01-11-2013,Kg,30,35,32.5
7635,Cabbage(Local),03-11-2013,Kg,30,35,32.5
7707,Cabbage(Local),04-11-2013,Kg,30,35,32.5
7781,Cabbage(Local),05-11-2013,Kg,35,40,37.5
7836,Cabbage(Local),06-11-2013,Kg,35,40,37.5
7883,Cabbage(Local),07-11-2013,Kg,40,45,42.5
7948,Cabbage(Local),10-11-2013,Kg,35,36,35.5
8014,Cabbage(Local),11-11-2013,Kg,35,38,36.5
8075,Cabbage(Local),12-11-2013,Kg,35,38,36.5
8138,Cabbage(Local),13-11-2013,Kg,45,52,48.5
8202,Cabbage(Local),14-11-2013,Kg,48,50,49.0
8265,Cabbage(Local),15-11-2013,Kg,40,45,42.5
8330,Cabbage(Local),16-11-2013,Kg,38,42,40.0
8396,Cabbage(Local),17-11-2013,Kg,45,50,47.5
8460,Cabbage(Local),18-11-2013,Kg,50,56,53.0
