SN,Commodity,Date,Unit,Minimum,Maximum,Average
5,Carrot(Local),16-06-2013,Kg,30,35,32.5
79,Carrot(Local),17-06-2013,Kg,35,40,37.5
152,Carrot(Local),18-06-2013,Kg,35,40,37.5
225,Carrot(Local),19-06-2013,Kg,38,42,40.0
298,Carrot(Local),20-06-2013,Kg,40,42,41.0
372,Carrot(Local),21-06-2013,Kg,40,45,42.5
446,Carrot(Local),25-06-2013,Kg,40,45,42.5
519,Carrot(Local),26-06-2013,Kg,35,40,37.5
592,Carrot(Local),27-06-2013,Kg,40,42,41.0
664,Carrot(Local),28-06-2013,Kg,40,42,41.0
734,Carrot(Local),30-06-2013,Kg,40,45,42.5
804,Carrot(Local),01-07-2013,Kg,45,50,47.5
874,Carrot(Local),02-07-2013,Kg,45,50,47.5
943,Carrot(Local),03-07-2013,Kg,45,50,47.5
1013,Carrot(Local),04-07-2013,Kg,45,50,47.5
1083,Carrot(Local),05-07-2013,Kg,45,50,47.5
1152,Carrot(Local),09-07-2013,Kg,35,40,37.5
1222,Carrot(Local),10-07-2013,Kg,35,40,37.5
1292,Carrot(Local),11-07-2013,Kg,35,40,37.5
1361,Carrot(Local),12-07-2013,Kg,45,50,47.5
1431,Carrot(Local),14-07-2013,Kg,45,50,47.5
1501,Carrot(Local),15-07-2013,Kg,35,40,37.5
1569,Carrot(Local),16-07-2013,Kg,45,50,47.5
1638,Carrot(Local),17-07-2013,Kg,45,50,47.5
1709,Carrot(Local),18-07-2013,Kg,45,50,47.5
1780,Carrot(Local),19-07-2013,Kg,35,40,37.5
1850,Carrot(Local),21-07-2013,Kg,50,53,51.5
1921,Carrot(Local),22-07-2013,Kg,45,50,47.5
1992,Carrot(Local),23-07-2013,Kg,45,50,47.5
2061,Carrot(Local),24-07-2013,Kg,50,55,52.5
2130,Carrot(Local),25-07-2013,Kg,50,55,52.5
2200,Carrot(Local),26-07-2013,Kg,50,55,52.5
2268,Carrot(Local),28-07-2013,Kg,50,55,52.5
2338,Carrot(Local),29-07-2013,Kg,45,50,47.5
