SN,Commodity,Date,Unit,Minimum,Maximum,Average
7,Cauli Local,16-06-2013,Kg,30,35,32.5
81,Cauli Local,17-06-2013,Kg,25,30,27.5
154,Cauli Local,18-06-2013,Kg,25,30,27.5
227,Cauli Local,19-06-2013,Kg,25,30,27.5
300,Cauli Local,20-06-2013,Kg,20,25,22.5
374,Cauli Local,21-06-2013,Kg,20,24,22.0
448,Cauli Local,25-06-2013,Kg,20,25,22.5
521,Cauli Local,26-06-2013,Kg,18,22,20.0
594,Cauli Local,27-06-2013,Kg,25,30,27.5
666,Cauli Local,28-06-2013,Kg,25,30,27.5
736,Cauli Local,30-06-2013,Kg,30,40,35.0
806,Cauli Local,01-07-2013,Kg,30,35,32.5
876,Cauli Local,02-07-2013,Kg,25,30,27.5
945,Cauli Local,03-07-2013,Kg,40,45,42.5
1015,Cauli Local,04-07-2013,Kg,40,45,42.5
1085,Cauli Local,05-07-2013,Kg,40,45,42.5
1154,Cauli Local,09-07-2013,Kg,40,45,42.5
1224,Cauli Local,10-07-2013,Kg,40,45,42.5
1294,Cauli Local,11-07-2013,Kg,60,70,65.0
1363,Cauli Local,12-07-2013,Kg,40,50,45.0
1433,Cauli Local,14-07-2013,Kg,55,60,57.5
1503,Cauli Local,15-07-2013,Kg,55,65,60.0
1571,Cauli Local,16-07-2013,Kg,60,70,65.0
1640,Cauli Local,17-07-2013,Kg,50,60,55.0
1711,Cauli Local,18-07-2013,Kg,40,50,45.0
1782,Cauli Local,19-07-2013,Kg,50,60,55.0
1852,Cauli Local,21-07-2013,Kg,50,60,55.0
1923,Cauli Local,22-07-2013,Kg,55,60,57.5
1994,Cauli Local,23-07-2013,Kg,55,60,57.5
2063,Cauli Local,24-07-2013,Kg,55,60,57.5
2132,Cauli Local,25-07-2013,Kg,55,60,57.5
2202,Cauli Local,26-07-2013,Kg,55,60,57.5
2270,Cauli Local,28-07-2013,Kg,55,60,57.5
2340,Cauli Local,29-07-2013,Kg,50,60,55.0
2408,Cauli Local,30-07-2013,Kg,50,55,52.5
2475,Cauli Local,31-07-2013,Kg,45,50,47.5
2541,Cauli Local,01-08-2013,Kg,55,60,57.5
2608,Cauli Local,02-08-2013,Kg,55,65,60.0
2676,Cauli Local,04-08-2013,Kg,65,70,67.5
2743,Cauli Local,05-08-2013,Kg,55,62,58.5
2809,Cauli Local,06-08-2013,Kg,60,65,62.5
2874,Cauli Local,07-08-2013,Kg,60,65,62.5
2940,Cauli Local,08-08-2013,Kg,60,65,62.5
3008,Cauli Local,12-08-2013,Kg,60,65,62.5
3048,Cauli Local,13-08-2013,Kg,55,60,57.5
3116,Cauli Local,14-08-2013,Kg,55,60,57.5
3186,Cauli Local,15-08-2013,Kg,55,60,57.5
3254,Cauli Local,16-08-2013,Kg,55,60,57.5
3325,Cauli Local,18-08-2013,Kg,50,60,55.0
3396,Cauli Local,19-08-2013,Kg,55,60,57.5
3466,Cauli Local,20-08-2013,Kg,55,60,57.5
3537,Cauli Local,23-08-2013,Kg,50,55,52.5
3608,Cauli Local,25-08-2013,Kg,45,50,47.5
3679,Cauli Local,26-08-2013,Kg,40,50,45.0
3750,Cauli Local,27-08-2013,Kg,50,55,52.5
3820,Cauli Local,29-08-2013,Kg,50,55,52.5
3889,Cauli Local,30-08-2013,Kg,50,55,52.5
3960,Cauli Local,01-09-2013,Kg,50,55,52.5
4028,Cauli Local,02-09-2013,Kg,45,50,47.5
4097,Cauli Local,03-09-2013,Kg,60,70,65.0
4164,Cauli Local,04-09-2013,Kg,55,65,60.0
4234,Cauli Local,05-09-2013,Kg,40,45,42.5
4304,Cauli Local,06-09-2013,Kg,50,60,55.0
4374,Cauli Local,08-09-2013,Kg,40,45,42.5
4445,Cauli Local,09-09-2013,Kg,40,45,42.5
4516,Cauli Local,10-09-2013,Kg,45,50,47.5
4587,Cauli Local,11-09-2013,Kg,40,45,42.5
4658,Cauli Local,12-09-2013,Kg,40,45,42.5
4728,Cauli Local,13-09-2013,Kg,40,45,42.5
4797,Cauli Local,15-09-2013,Kg,44,48,46.0
4866,Cauli Local,16-09-2013,Kg,40,45,42.5
4936,Cauli Local,17-09-2013,Kg,40,50,45.0
5006,Cauli Local,19-09-2013,Kg,40,50,45.0
5076,Cauli Local,20-09-2013,Kg,35,40,37.5
5145,Cauli Local,22-09-2013,Kg,35,40,37.5
5216,Cauli Local,23-09-2013,Kg,35,40,37.5
5287,Cauli Local,24-09-2013,Kg,30,40,35.0
5359,Cauli Local,25-09-2013,Kg,30,40,35.0
5430,Cauli Local,26-09-2013,Kg,35,40,37.5
5501,Cauli Local,27-09-2013,Kg,40,50,45.0
5573,Cauli Local,29-09-2013,Kg,35,45,40.0
5646,Cauli Local,30-09-2013,Kg,40,50,45.0
5716,Cauli Local,01-10-2013,Kg,45,55,50.0
5789,Cauli Local,02-10-2013,Kg,40,45,42.5
5863,Cauli Local,03-10-2013,Kg,40,50,45.0
5936,Cauli Local,04-10-2013,Kg,50,55,52.5
6010,Cauli Local,06-10-2013,Kg,60,70,65.0
6082,Cauli Local,07-10-2013,Kg,45,50,47.5
6157,Cauli Local,08-10-2013,Kg,35,40,37.5
6232,Cauli Local,09-10-2013,Kg,35,45,40.0
6307,Cauli Local,10-10-2013,Kg,40,45,42.5
6382,Cauli Local,11-10-2013,Kg,40,45,42.5
6457,Cauli Local,12-10-2013,Kg,45,50,47.5
6527,Cauli Local,13-10-2013,Kg,50,55,52.5
6565,Cauli Local,14-10-2013,Kg,50,60,55.0
6601,Cauli Local,15-10-2013,Kg,60,70,65.0
6638,Cauli Local,16-10-2013,Kg,45,55,50.0
6703,Cauli Local,17-10-2013,Kg,40,50,45.0
