SN,Commodity,Date,Unit,Minimum,Maximum,Average
41,Celery,16-06-2013,Kg,120,130,125.0
114,Celery,17-06-2013,Kg,120,130,125.0
187,Celery,18-06-2013,Kg,120,130,125.0
260,Celery,19-06-2013,Kg,120,130,125.0
334,Celery,20-06-2013,Kg,120,130,125.0
408,Celery,21-06-2013,Kg,120,130,125.0
481,Celery,25-06-2013,Kg,120,130,125.0
554,Celery,26-06-2013,Kg,120,130,125.0
626,Celery,27-06-2013,Kg,120,130,125.0
696,Celery,28-06-2013,Kg,120,130,125.0
767,Celery,30-06-2013,Kg,120,130,125.0
836,Celery,01-07-2013,Kg,120,130,125.0
905,Celery,02-07-2013,Kg,120,130,125.0
975,Celery,03-07-2013,Kg,120,130,125.0
1045,Celery,04-07-2013,Kg,120,130,125.0
1114,Celery,05-07-2013,Kg,120,130,125.0
1183,Celery,09-07-2013,Kg,120,130,125.0
1254,Celery,10-07-2013,Kg,120,130,125.0
1324,Celery,11-07-2013,Kg,120,130,125.0
1393,Celery,12-07-2013,Kg,120,130,125.0
1463,Celery,14-07-2013,Kg,120,130,125.0
1532,Celery,15-07-2013,Kg,120,130,125.0
1601,Celery,16-07-2013,Kg,120,130,125.0
1670,Celery,17-07-2013,Kg,120,130,125.0
1741,Celery,18-07-2013,Kg,120,130,125.0
1811,Celery,19-07-2013,Kg,120,130,125.0
1882,Celery,21-07-2013,Kg,120,130,125.0
1954,Celery,22-07-2013,Kg,120,130,125.0
2024,Celery,23-07-2013,Kg,120,130,125.0
2093,Celery,24-07-2013,Kg,120,130,125.0
2163,Celery,25-07-2013,Kg,120,130,125.0
2232,Celery,26-07-2013,Kg,120,130,125.0
2301,Celery,28-07-2013,Kg,120,130,125.0
2370,Celery,29-07-2013,Kg,120,130,125.0
2438,Celery,30-07-2013,Kg,120,130,125.0
2505,Celery,31-07-2013,Kg,120,130,125.0
2571,Celery,01-08-2013,Kg,120,130,125.0
2639,Celery,02-08-2013,Kg,120,130,125.0
2706,Celery,04-08-2013,Kg,120,130,125.0
2773,Celery,05-08-2013,Kg,120,130,125.0
2839,Celery,06-08-2013,Kg,120,130,125.0
2904,Celery,07-08-2013,Kg,120,130,125.0
2970,Celery,08-08-2013,Kg,120,130,125.0
3078,Celery,13-08-2013,Kg,120,130,125.0
3146,Celery,14-08-2013,Kg,120,130,125.0
3215,Celery,15-08-2013,Kg,120,130,125.0
3285,Celery,16-08-2013,Kg,120,130,125.0
3356,Celery,18-08-2013,Kg,120,130,125.0
3427,Celery,19-08-2013,Kg,120,130,125.0
3497,Celery,20-08-2013,Kg,120,130,125.0
3568,Celery,23-08-2013,Kg,130,140,135.0
3639,Celery,25-08-2013,Kg,120,130,125.0
3710,Celery,26-08-2013,Kg,120,130,125.0
3781,Celery,27-08-2013,Kg,120,130,125.0
3851,Celery,29-08-2013,Kg,120,130,125.0
3920,Celery,30-08-2013,Kg,120,130,125.0
3990,Celery,01-09-2013,Kg,120,130,125.0
