SN,Commodity,Date,Unit,Minimum,Maximum,Average
64,Chilli Dry,16-06-2013,Kg,170,180,175.0
137,Chilli Dry,17-06-2013,Kg,170,180,175.0
210,Chilli Dry,18-06-2013,Kg,170,180,175.0
283,Chilli Dry,19-06-2013,Kg,170,180,175.0
357,Chilli Dry,20-06-2013,Kg,170,180,175.0
431,Chilli Dry,21-06-2013,Kg,170,180,175.0
504,Chilli Dry,25-06-2013,Kg,170,180,175.0
577,Chilli Dry,26-06-2013,Kg,170,180,175.0
649,Chilli Dry,27-06-2013,Kg,170,180,175.0
719,Chilli Dry,28-06-2013,Kg,170,180,175.0
790,Chilli Dry,30-06-2013,Kg,170,180,175.0
860,Chilli Dry,01-07-2013,Kg,170,180,175.0
928,Chilli Dry,02-07-2013,Kg,170,180,175.0
998,Chilli Dry,03-07-2013,Kg,170,180,175.0
1068,Chilli Dry,04-07-2013,Kg,170,180,175.0
1137,Chilli Dry,05-07-2013,Kg,170,180,175.0
1207,Chilli Dry,09-07-2013,Kg,170,180,175.0
1278,Chilli Dry,10-07-2013,Kg,170,180,175.0
1347,Chilli Dry,11-07-2013,Kg,170,180,175.0
1417,Chilli Dry,12-07-2013,Kg,170,180,175.0
1487,Chilli Dry,14-07-2013,Kg,170,180,175.0
1555,Chilli Dry,15-07-2013,Kg,170,180,175.0
1624,Chilli Dry,16-07-2013,Kg,170,180,175.0
1694,Chilli Dry,17-07-2013,Kg,170,180,175.0
1765,Chilli Dry,18-07-2013,Kg,170,180,175.0
1835,Chilli Dry,19-07-2013,Kg,170,180,175.0
1906,Chilli Dry,21-07-2013,Kg,170,180,175.0
1977,Chilli Dry,22-07-2013,Kg,170,180,175.0
2046,Chilli Dry,23-07-2013,Kg,170,180,175.0
2115,Chilli Dry,24-07-2013,Kg,170,180,175.0
2185,Chilli Dry,25-07-2013,Kg,170,180,175.0
2254,Chilli Dry,26-07-2013,Kg,170,180,175.0
2323,Chilli Dry,28-07-2013,Kg,170,180,175.0
2391,Chilli Dry,29-07-2013,Kg,170,180,175.0
2458,Chilli Dry,30-07-2013,Kg,170,180,175.0
2524,Chilli Dry,31-07-2013,Kg,170,180,175.0
2591,Chilli Dry,01-08-2013,Kg,170,180,175.0
2659,Chilli Dry,02-08-2013,Kg,170,180,175.0
2726,Chilli Dry,04-08-2013,Kg,170,180,175.0
2792,Chilli Dry,05-08-2013,Kg,170,180,175.0
2857,Chilli Dry,06-08-2013,Kg,170,180,175.0
2923,Chilli Dry,07-08-2013,Kg,170,180,175.0
2991,Chilli Dry,08-08-2013,Kg,170,180,175.0
3099,Chilli Dry,13-08-2013,Kg,170,180,175.0
3169,Chilli Dry,14-08-2013,Kg,170,180,175.0
3237,Chilli Dry,15-08-2013,Kg,170,180,175.0
3308,Chilli Dry,16-08-2013,Kg,170,180,175.0
3379,Chilli Dry,18-08-2013,Kg,170,180,175.0
3449,Chilli Dry,19-08-2013,Kg,170,180,175.0
3520,Chilli Dry,20-08-2013,Kg,170,180,175.0
3591,Chilli Dry,23-08-2013,Kg,170,180,175.0
3662,Chilli Dry,25-08-2013,Kg,170,180,175.0
3733,Chilli Dry,26-08-2013,Kg,170,180,175.0
3803,Chilli Dry,27-08-2013,Kg,170,180,175.0
3872,Chilli Dry,29-08-2013,Kg,170,180,175.0
3943,Chilli Dry,30-08-2013,Kg,170,180,175.0
4011,Chilli Dry,01-09-2013,Kg,170,180,175.0
4080,Chilli Dry,02-09-2013,Kg,180,190,185.0
4147,Chilli Dry,03-09-2013,Kg,180,190,185.0
4217,Chilli Dry,04-09-2013,Kg,170,175,172.5
4287,Chilli Dry,05-09-2013,Kg,170,175,172.5
4357,Chilli Dry,06-09-2013,Kg,170,175,172.5
4428,Chilli Dry,08-09-2013,Kg,170,175,172.5
4499,Chilli Dry,09-09-2013,Kg,170,175,172.5
4570,Chilli Dry,10-09-2013,Kg,170,175,172.5
4641,Chilli Dry,11-09-2013,Kg,170,175,172.5
4711,Chilli Dry,12-09-2013,Kg,170,175,172.5
4780,Chilli Dry,13-09-2013,Kg,165,170,167.5
4849,Chilli Dry,15-09-2013,Kg,170,175,172.5
4919,Chilli Dry,16-09-2013,Kg,170,175,172.5
4989,Chilli Dry,17-09-2013,Kg,170,175,172.5
5059,Chilli Dry,19-09-2013,Kg,170,175,172.5
5129,Chilli Dry,20-09-2013,Kg,170,175,172.5
5199,Chilli Dry,22-09-2013,Kg,170,175,172.5
5270,Chilli Dry,23-09-2013,Kg,170,175,172.5
5342,Chilli Dry,24-09-2013,Kg,170,175,172.5
5413,Chilli Dry,25-09-2013,Kg,170,180,175.0
5484,Chilli Dry,26-09-2013,Kg,170,175,172.5
5556,Chilli Dry,27-09-2013,Kg,160,170,165.0
5629,Chilli Dry,29-09-2013,Kg,160,170,165.0
5701,Chilli Dry,30-09-2013,Kg,160,170,165.0
5772,Chilli Dry,01-10-2013,Kg,160,170,165.0
5846,Chilli Dry,02-10-2013,Kg,160,170,165.0
5919,Chilli Dry,03-10-2013,Kg,160,170,165.0
5993,Chilli Dry,04-10-2013,Kg,160,170,165.0
6065,Chilli Dry,06-10-2013,Kg,160,170,165.0
6140,Chilli Dry,07-10-2013,Kg,160,170,165.0
6215,Chilli Dry,08-10-2013,Kg,160,170,165.0
6290,Chilli Dry,09-10-2013,Kg,160,170,165.0
6365,Chilli Dry,10-10-2013,Kg,160,170,165.0
6440,Chilli Dry,11-10-2013,Kg,160,170,165.0
6511,Chilli Dry,12-10-2013,Kg,160,170,165.0
6552,Chilli Dry,13-10-2013,Kg,70,160,115.0
6589,Chilli Dry,14-10-2013,Kg,160,170,165.0
6625,Chilli Dry,15-10-2013,Kg,160,170,165.0
6687,Chilli Dry,16-10-2013,Kg,160,170,165.0
6756,Chilli Dry,17-10-2013,Kg,160,170,165.0
6827,Chilli Dry,20-10-2013,Kg,160,170,165.0
6900,Chilli Dry,21-10-2013,Kg,160,170,165.0
6971,Chilli Dry,22-10-2013,Kg,160,170,165.0
7040,Chilli Dry,23-10-2013,Kg,160,170,165.0
7110,Chilli Dry,24-10-2013,Kg,160,170,165.0
7182,Chilli Dry,25-10-2013,Kg,160,170,165.0
7254,Chilli Dry,27-10-2013,Kg,160,170,165.0
7327,Chilli Dry,28-10-2013,Kg,160,170,165.0
7401,Chilli Dry,29-10-2013,Kg,160,170,165.0
7475,Chilli Dry,30-10-2013,Kg,160,170,165.0
7547,Chilli Dry,31-10-2013,Kg,160,170,165.0
7621,Chilli Dry,01-11-2013,Kg,160,170,165.0
7693,Chilli Dry,03-11-2013,Kg,160,170,165.0
7766,Chilli Dry,04-11-2013,Kg,160,170,165.0
7822,Chilli Dry,05-11-2013,Kg,160,170,165.0
7870,Chilli Dry,06-11-2013,Kg,160,170,165.0
7934,Chilli Dry,07-11-2013,Kg,170,180,175.0
7999,Chilli Dry,10-11-2013,Kg,180,200,190.0
8060,Chilli Dry,11-11-2013,Kg,180,200,190.0
