SN,Commodity,Date,Unit,Minimum,Maximum,Average
59,Cucumber(Local),16-06-2013,Kg,25,30,27.5
132,Cucumber(Local),17-06-2013,Kg,25,30,27.5
205,Cucumber(Local),18-06-2013,Kg,25,30,27.5
278,Cucumber(Local),19-06-2013,Kg,30,35,32.5
352,Cucumber(Local),20-06-2013,Kg,30,35,32.5
426,Cucumber(Local),21-06-2013,Kg,25,30,27.5
499,Cucumber(Local),25-06-2013,Kg,25,30,27.5
572,Cucumber(Local),26-06-2013,Kg,30,35,32.5
644,Cucumber(Local),27-06-2013,Kg,30,35,32.5
714,Cucumber(Local),28-06-2013,Kg,30,35,32.5
785,Cucumber(Local),30-06-2013,Kg,28,35,31.5
855,Cucumber(Local),01-07-2013,Kg,25,30,27.5
923,Cucumber(Local),02-07-2013,Kg,30,35,32.5
993,Cucumber(Local),03-07-2013,Kg,30,35,32.5
1063,Cucumber(Local),04-07-2013,Kg,30,35,32.5
1132,Cucumber(Local),05-07-2013,Kg,30,35,32.5
1202,Cucumber(Local),09-07-2013,Kg,30,35,32.5
1273,Cucumber(Local),10-07-2013,Kg,30,35,32.5
1342,Cucumber(Local),11-07-2013,Kg,30,35,32.5
1412,Cucumber(Local),12-07-2013,Kg,30,35,32.5
1482,Cucumber(Local),14-07-2013,Kg,30,35,32.5
1550,Cucumber(Local),15-07-2013,Kg,30,35,32.5
1619,Cucumber(Local),16-07-2013,Kg,30,35,32.5
1689,Cucumber(Local),17-07-2013,Kg,30,35,32.5
1760,Cucumber(Local),18-07-2013,Kg,35,40,37.5
1830,Cucumber(Local),19-07-2013,Kg,25,30,27.5
1901,Cucumber(Local),21-07-2013,Kg,25,30,27.5
1973,Cucumber(Local),22-07-2013,Kg,25,30,27.5
2042,Cucumber(Local),23-07-2013,Kg,25,30,27.5
2111,Cucumber(Local),24-07-2013,Kg,25,30,27.5
2181,Cucumber(Local),25-07-2013,Kg,25,30,27.5
2250,Cucumber(Local),26-07-2013,Kg,25,30,27.5
2319,Cucumber(Local),28-07-2013,Kg,28,32,30.0
2388,Cucumber(Local),29-07-2013,Kg,25,30,27.5
2454,Cucumber(Local),30-07-2013,Kg,25,30,27.5
2520,Cucumber(Local),31-07-2013,Kg,24,28,26.0
2586,Cucumber(Local),01-08-2013,Kg,25,30,27.5
2654,Cucumber(Local),02-08-2013,Kg,25,30,27.5
2721,Cucumber(Local),04-08-2013,Kg,20,25,22.5
2787,Cucumber(Local),05-08-2013,Kg,25,30,27.5
2853,Cucumber(Local),06-08-2013,Kg,25,30,27.5
2918,Cucumber(Local),07-08-2013,Kg,25,30,27.5
2985,Cucumber(Local),08-08-2013,Kg,25,30,27.5
3039,Cucumber(Local),12-08-2013,Kg,25,28,26.5
3094,Cucumber(Local),13-08-2013,Kg,25,30,27.5
3162,Cucumber(Local),14-08-2013,Kg,25,30,27.5
3231,Cucumber(Local),15-08-2013,Kg,25,30,27.5
3301,Cucumber(Local),16-08-2013,Kg,20,25,22.5
3372,Cucumber(Local),18-08-2013,Kg,20,25,22.5
3442,Cucumber(Local),19-08-2013,Kg,20,25,22.5
3513,Cucumber(Local),20-08-2013,Kg,20,25,22.5
3584,Cucumber(Local),23-08-2013,Kg,25,30,27.5
3655,Cucumber(Local),25-08-2013,Kg,20,25,22.5
3726,Cucumber(Local),26-08-2013,Kg,25,30,27.5
3796,Cucumber(Local),27-08-2013,Kg,25,30,27.5
3866,Cucumber(Local),29-08-2013,Kg,25,30,27.5
3936,Cucumber(Local),30-08-2013,Kg,25,30,27.5
4005,Cucumber(Local),01-09-2013,Kg,25,30,27.5
4074,Cucumber(Local),02-09-2013,Kg,30,35,32.5
4141,Cucumber(Local),03-09-2013,Kg,45,50,47.5
4211,Cucumber(Local),04-09-2013,Kg,35,40,37.5
4281,Cucumber(Local),05-09-2013,Kg,25,30,27.5
4351,Cucumber(Local),06-09-2013,Kg,25,30,27.5
4421,Cucumber(Local),08-09-2013,Kg,45,50,47.5
4492,Cucumber(Local),09-09-2013,Kg,35,40,37.5
4563,Cucumber(Local),10-09-2013,Kg,55,60,57.5
4634,Cucumber(Local),11-09-2013,Kg,45,50,47.5
4705,Cucumber(Local),12-09-2013,Kg,35,40,37.5
4774,Cucumber(Local),13-09-2013,Kg,40,45,42.5
4843,Cucumber(Local),15-09-2013,Kg,35,40,37.5
4913,Cucumber(Local),16-09-2013,Kg,35,40,37.5
4983,Cucumber(Local),17-09-2013,Kg,35,40,37.5
5053,Cucumber(Local),19-09-2013,Kg,35,40,37.5
5122,Cucumber(Local),20-09-2013,Kg,35,40,37.5
5192,Cucumber(Local),22-09-2013,Kg,30,35,32.5
5263,Cucumber(Local),23-09-2013,Kg,25,30,27.5
5336,Cucumber(Local),24-09-2013,Kg,30,35,32.5
5406,Cucumber(Local),25-09-2013,Kg,25,30,27.5
5477,Cucumber(Local),26-09-2013,Kg,30,40,35.0
5549,Cucumber(Local),27-09-2013,Kg,30,35,32.5
5622,Cucumber(Local),29-09-2013,Kg,30,35,32.5
5694,Cucumber(Local),30-09-2013,Kg,25,30,27.5
5765,Cucumber(Local),01-10-2013,Kg,25,30,27.5
5839,Cucumber(Local),02-10-2013,Kg,25,30,27.5
5912,Cucumber(Local),03-10-2013,Kg,30,35,32.5
5986,Cucumber(Local),04-10-2013,Kg,30,35,32.5
6058,Cucumber(Local),06-10-2013,Kg,25,30,27.5
6133,Cucumber(Local),07-10-2013,Kg,30,35,32.5
6208,Cucumber(Local),08-10-2013,Kg,30,35,32.5
6283,Cucumber(Local),09-10-2013,Kg,25,30,27.5
6358,Cucumber(Local),10-10-2013,Kg,30,35,32.5
6433,Cucumber(Local),11-10-2013,Kg,55,60,57.5
6504,Cucumber(Local),12-10-2013,Kg,60,70,65.0
6549,Cucumber(Local),13-10-2013,Kg,60,70,65.0
6586,Cucumber(Local),14-10-2013,Kg,60,70,65.0
6622,Cucumber(Local),15-10-2013,Kg,60,70,65.0
6680,Cucumber(Local),16-10-2013,Kg,60,70,65.0
6749,Cucumber(Local),17-10-2013,Kg,50,60,55.0
6820,Cucumber(Local),20-10-2013,Kg,40,50,45.0
6893,Cucumber(Local),21-10-2013,Kg,35,40,37.5
6964,Cucumber(Local),22-10-2013,Kg,40,45,42.5
7034,Cucumber(Local),23-10-2013,Kg,35,40,37.5
7104,Cucumber(Local),24-10-2013,Kg,60,70,65.0
7175,Cucumber(Local),25-10-2013,Kg,60,70,65.0
7247,Cucumber(Local),27-10-2013,Kg,70,80,75.0
7320,Cucumber(Local),28-10-2013,Kg,70,80,75.0
7394,Cucumber(Local),29-10-2013,Kg,60,70,65.0
7468,Cucumber(Local),30-10-2013,Kg,60,70,65.0
7540,Cucumber(Local),31-10-2013,Kg,70,80,75.0
7614,Cucumber(Local),01-11-2013,Kg,30,35,32.5
7685,Cucumber(Local),03-11-2013,Kg,40,50,45.0
7758,Cucumber(Local),04-11-2013,Kg,40,50,45.0
7816,Cucumber(Local),05-11-2013,Kg,30,40,35.0
7867,Cucumber(Local),06-11-2013,Kg,40,50,45.0
7929,Cucumber(Local),07-11-2013,Kg,35,40,37.5
7994,Cucumber(Local),10-11-2013,Kg,35,40,37.5
8055,Cucumber(Local),11-11-2013,Kg,35,40,37.5
8118,Cucumber(Local),12-11-2013,Kg,35,40,37.5
8182,Cucumber(Local),13-11-2013,Kg,30,36,33.0
8245,Cucumber(Local),14-11-2013,Kg,30,34,32.0
8310,Cucumber(Local),15-11-2013,Kg,25,32,28.5
8376,Cucumber(Local),16-11-2013,Kg,24,28,26.0
8440,Cucumber(Local),17-11-2013,Kg,20,25,22.5
8505,Cucumber(Local),18-11-2013,Kg,20,24,22.0
8567,Cucumber(Local),20-11-2013,Kg,20,25,22.5
8635,Cucumber(Local),21-11-2013,Kg,25,30,27.5
8706,Cucumber(Local),22-11-2013,Kg,20,25,22.5
8776,Cucumber(Local),24-11-2013,Kg,20,25,22.5
8845,Cucumber(Local),25-11-2013,Kg,20,25,22.5
8915,Cucumber(Local),26-11-2013,Kg,25,30,27.5
8983,Cucumber(Local),27-11-2013,Kg,15,20,17.5
9052,Cucumber(Local),28-11-2013,Kg,15,20,17.5
9121,Cucumber(Local),29-11-2013,Kg,15,20,17.5
9195,Cucumber(Local),01-12-2013,Kg,25,30,27.5
