SN,Commodity,Date,Unit,Minimum,Maximum,Average
67,Garlic Green,16-06-2013,Kg,45,50,47.5
140,Garlic Green,17-06-2013,Kg,45,50,47.5
213,Garlic Green,18-06-2013,Kg,45,50,47.5
286,Garlic Green,19-06-2013,Kg,45,50,47.5
360,Garlic Green,20-06-2013,Kg,40,45,42.5
434,Garlic Green,21-06-2013,Kg,45,50,47.5
507,Garlic Green,25-06-2013,Kg,45,50,47.5
580,Garlic Green,26-06-2013,Kg,45,50,47.5
652,Garlic Green,27-06-2013,Kg,45,50,47.5
722,Garlic Green,28-06-2013,Kg,45,50,47.5
793,Garlic Green,30-06-2013,Kg,55,60,57.5
863,Garlic Green,01-07-2013,Kg,40,45,42.5
931,Garlic Green,02-07-2013,Kg,35,40,37.5
1001,Garlic Green,03-07-2013,Kg,35,40,37.5
1071,Garlic Green,04-07-2013,Kg,35,40,37.5
1140,Garlic Green,05-07-2013,Kg,35,40,37.5
1210,Garlic Green,09-07-2013,Kg,35,40,37.5
1281,Garlic Green,10-07-2013,Kg,45,50,47.5
1350,Garlic Green,11-07-2013,Kg,45,50,47.5
1420,Garlic Green,12-07-2013,Kg,45,50,47.5
1490,Garlic Green,14-07-2013,Kg,45,50,47.5
1558,Garlic Green,15-07-2013,Kg,45,50,47.5
1627,Garlic Green,16-07-2013,Kg,35,40,37.5
1697,Garlic Green,17-07-2013,Kg,40,45,42.5
1768,Garlic Green,18-07-2013,Kg,35,40,37.5
1838,Garlic Green,19-07-2013,Kg,35,40,37.5
1909,Garlic Green,21-07-2013,Kg,35,40,37.5
1980,Garlic Green,22-07-2013,Kg,35,40,37.5
2049,Garlic Green,23-07-2013,Kg,45,50,47.5
2118,Garlic Green,24-07-2013,Kg,45,50,47.5
2188,Garlic Green,25-07-2013,Kg,45,50,47.5
2257,Garlic Green,26-07-2013,Kg,45,50,47.5
2326,Garlic Green,28-07-2013,Kg,45,50,47.5
2394,Garlic Green,29-07-2013,Kg,45,50,47.5
2461,Garlic Green,30-07-2013,Kg,45,50,47.5
2527,Garlic Green,31-07-2013,Kg,55,60,57.5
2594,Garlic Green,01-08-2013,Kg,45,50,47.5
2662,Garlic Green,02-08-2013,Kg,45,50,47.5
2729,Garlic Green,04-08-2013,Kg,35,40,37.5
2795,Garlic Green,05-08-2013,Kg,45,50,47.5
2860,Garlic Green,06-08-2013,Kg,40,45,42.5
2926,Garlic Green,07-08-2013,Kg,55,60,57.5
2994,Garlic Green,08-08-2013,Kg,45,50,47.5
3102,Garlic Green,13-08-2013,Kg,45,50,47.5
3172,Garlic Green,14-08-2013,Kg,50,55,52.5
3240,Garlic Green,15-08-2013,Kg,55,60,57.5
3311,Garlic Green,16-08-2013,Kg,55,60,57.5
3382,Garlic Green,18-08-2013,Kg,55,60,57.5
3452,Garlic Green,19-08-2013,Kg,55,60,57.5
3523,Garlic Green,20-08-2013,Kg,45,50,47.5
3594,Garlic Green,23-08-2013,Kg,60,65,62.5
3665,Garlic Green,25-08-2013,Kg,60,65,62.5
3736,Garlic Green,26-08-2013,Kg,55,60,57.5
3806,Garlic Green,27-08-2013,Kg,55,60,57.5
3875,Garlic Green,29-08-2013,Kg,55,60,57.5
3946,Garlic Green,30-08-2013,Kg,55,60,57.5
4014,Garlic Green,01-09-2013,Kg,55,60,57.5
4083,Garlic Green,02-09-2013,Kg,55,60,57.5
4150,Garlic Green,03-09-2013,Kg,50,55,52.5
4220,Garlic Green,04-09-2013,Kg,55,60,57.5
4290,Garlic Green,05-09-2013,Kg,45,50,47.5
4360,Garlic Green,06-09-2013,Kg,55,60,57.5
4431,Garlic Green,08-09-2013,Kg,50,55,52.5
4502,Garlic Green,09-09-2013,Kg,50,55,52.5
4573,Garlic Green,10-09-2013,Kg,50,55,52.5
4644,Garlic Green,11-09-2013,Kg,50,55,52.5
4714,Garlic Green,12-09-2013,Kg,50,55,52.5
4783,Garlic Green,13-09-2013,Kg,45,50,47.5
4852,Garlic Green,15-09-2013,Kg,45,50,47.5
4922,Garlic Green,16-09-2013,Kg,45,50,47.5
4992,Garlic Green,17-09-2013,Kg,45,50,47.5
5062,Garlic Green,19-09-2013,Kg,45,50,47.5
5132,Garlic Green,20-09-2013,Kg,45,50,47.5
5202,Garlic Green,22-09-2013,Kg,45,50,47.5
5273,Garlic Green,23-09-2013,Kg,55,60,57.5
5345,Garlic Green,24-09-2013,Kg,45,50,47.5
5416,Garlic Green,25-09-2013,Kg,45,50,47.5
5487,Garlic Green,26-09-2013,Kg,55,60,57.5
5559,Garlic Green,27-09-2013,Kg,60,65,62.5
5632,Garlic Green,29-09-2013,Kg,65,70,67.5
5704,Garlic Green,30-09-2013,Kg,65,70,67.5
5775,Garlic Green,01-10-2013,Kg,65,70,67.5
5849,Garlic Green,02-10-2013,Kg,45,50,47.5
5922,Garlic Green,03-10-2013,Kg,60,70,65.0
5996,Garlic Green,04-10-2013,Kg,55,60,57.5
6068,Garlic Green,06-10-2013,Kg,55,60,57.5
6143,Garlic Green,07-10-2013,Kg,80,90,85.0
6218,Garlic Green,08-10-2013,Kg,55,60,57.5
6293,Garlic Green,09-10-2013,Kg,80,90,85.0
6368,Garlic Green,10-10-2013,Kg,75,80,77.5
6443,Garlic Green,11-10-2013,Kg,75,80,77.5
6514,Garlic Green,12-10-2013,Kg,80,85,82.5
6690,Garlic Green,16-10-2013,Kg,75,80,77.5
6759,Garlic Green,17-10-2013,Kg,75,80,77.5
6830,Garlic Green,20-10-2013,Kg,75,80,77.5
6903,Garlic Green,21-10-2013,Kg,75,80,77.5
6974,Garlic Green,22-10-2013,Kg,75,80,77.5
7043,Garlic Green,23-10-2013,Kg,70,80,75.0
7113,Garlic Green,24-10-2013,Kg,70,80,75.0
7185,Garlic Green,25-10-2013,Kg,75,80,77.5
7257,Garlic Green,27-10-2013,Kg,75,80,77.5
7330,Garlic Green,28-10-2013,Kg,80,90,85.0
7404,Garlic Green,29-10-2013,Kg,80,90,85.0
7478,Garlic Green,30-10-2013,Kg,75,80,77.5
7550,Garlic Green,31-10-2013,Kg,75,80,77.5
7624,Garlic Green,01-11-2013,Kg,75,80,77.5
7696,Garlic Green,03-11-2013,Kg,75,80,77.5
7769,Garlic Green,04-11-2013,Kg,75,80,77.5
7825,Garlic Green,05-11-2013,Kg,80,90,85.0
7937,Garlic Green,07-11-2013,Kg,80,90,85.0
8002,Garlic Green,10-11-2013,Kg,80,90,85.0
8063,Garlic Green,11-11-2013,Kg,80,90,85.0
8126,Garlic Green,12-11-2013,Kg,100,120,110.0
8190,Garlic Green,13-11-2013,Kg,100,120,110.0
8253,Garlic Green,14-11-2013,Kg,100,110,105.0
8318,Garlic Green,15-11-2013,Kg,110,120,115.0
8384,Garlic Green,16-11-2013,Kg,120,130,125.0
8448,Garlic Green,17-11-2013,Kg,120,130,125.0
8513,Garlic Green,18-11-2013,Kg,120,130,125.0
8575,Garlic Green,20-11-2013,Kg,120,130,125.0
8643,Garlic Green,21-11-2013,Kg,75,80,77.5
8714,Garlic Green,22-11-2013,Kg,70,80,75.0
8784,Garlic Green,24-11-2013,Kg,75,80,77.5
8853,Garlic Green,25-11-2013,Kg,75,80,77.5
8922,Garlic Green,26-11-2013,Kg,75,80,77.5
8991,Garlic Green,27-11-2013,Kg,75,80,77.5
9060,Garlic Green,28-11-2013,Kg,75,80,77.5
9132,Garlic Green,29-11-2013,Kg,80,90,85.0
9204,Garlic Green,01-12-2013,Kg,70,80,75.0
9274,Garlic Green,02-12-2013,Kg,75,80,77.5
9347,Garlic Green,03-12-2013,Kg,80,90,85.0
9419,Garlic Green,04-12-2013,Kg,80,90,85.0
9491,Garlic Green,05-12-2013,Kg,75,80,77.5
