SN,Commodity,Date,Unit,Minimum,Maximum,Average
52,Lime,16-06-2013,Kg,200,400,300.0
125,Lime,17-06-2013,Kg,200,400,300.0
198,Lime,18-06-2013,Kg,200,400,300.0
271,Lime,19-06-2013,Kg,200,400,300.0
345,Lime,20-06-2013,Kg,200,400,300.0
419,Lime,21-06-2013,Kg,200,400,300.0
492,Lime,25-06-2013,Kg,200,400,300.0
565,Lime,26-06-2013,Kg,200,400,300.0
637,Lime,27-06-2013,Kg,200,400,300.0
707,Lime,28-06-2013,Kg,200,400,300.0
779,Lime,30-06-2013,Kg,200,400,300.0
848,Lime,01-07-2013,Kg,200,400,300.0
916,Lime,02-07-2013,Kg,200,400,300.0
986,Lime,03-07-2013,Kg,200,400,300.0
1056,Lime,04-07-2013,Kg,200,400,300.0
1125,Lime,05-07-2013,Kg,200,400,300.0
1195,Lime,09-07-2013,Kg,200,400,300.0
1266,Lime,10-07-2013,Kg,300,500,400.0
1335,Lime,11-07-2013,Kg,300,500,400.0
1405,Lime,12-07-2013,Kg,400,500,450.0
1475,Lime,14-07-2013,Kg,300,400,350.0
1543,Lime,15-07-2013,Kg,300,400,350.0
1612,Lime,16-07-2013,Kg,300,400,350.0
1682,Lime,17-07-2013,Kg,300,400,350.0
1753,Lime,18-07-2013,Kg,300,400,350.0
1823,Lime,19-07-2013,Kg,300,400,350.0
1894,Lime,21-07-2013,Kg,300,400,350.0
1966,Lime,22-07-2013,Kg,300,400,350.0
2036,Lime,23-07-2013,Kg,300,400,350.0
2105,Lime,24-07-2013,Kg,300,400,350.0
2175,Lime,25-07-2013,Kg,300,400,350.0
2244,Lime,26-07-2013,Kg,300,400,350.0
2313,Lime,28-07-2013,Kg,300,400,350.0
2382,Lime,29-07-2013,Kg,300,400,350.0
2448,Lime,30-07-2013,Kg,300,400,350.0
2514,Lime,31-07-2013,Kg,300,400,350.0
2580,Lime,01-08-2013,Kg,300,400,350.0
2648,Lime,02-08-2013,Kg,300,400,350.0
2715,Lime,04-08-2013,Kg,300,400,350.0
2781,Lime,05-08-2013,Kg,300,400,350.0
2847,Lime,06-08-2013,Kg,300,400,350.0
2912,Lime,07-08-2013,Kg,300,400,350.0
2979,Lime,08-08-2013,Kg,300,400,350.0
3038,Lime,12-08-2013,Kg,200,300,250.0
3088,Lime,13-08-2013,Kg,300,400,350.0
3156,Lime,14-08-2013,Kg,300,400,350.0
3225,Lime,15-08-2013,Kg,300,400,350.0
3295,Lime,16-08-2013,Kg,300,400,350.0
3366,Lime,18-08-2013,Kg,300,400,350.0
3437,Lime,19-08-2013,Kg,300,400,350.0
3507,Lime,20-08-2013,Kg,40,300,170.0
3578,Lime,23-08-2013,Kg,300,400,350.0
3649,Lime,25-08-2013,Kg,300,400,350.0
3720,Lime,26-08-2013,Kg,300,500,400.0
3791,Lime,27-08-2013,Kg,400,500,450.0
3861,Lime,29-08-2013,Kg,400,500,450.0
3931,Lime,30-08-2013,Kg,400,500,450.0
4000,Lime,01-09-2013,Kg,400,500,450.0
4069,Lime,02-09-2013,Kg,300,400,350.0
4136,Lime,03-09-2013,Kg,300,400,350.0
4206,Lime,04-09-2013,Kg,300,400,350.0
4276,Lime,05-09-2013,Kg,300,400,350.0
4346,Lime,06-09-2013,Kg,300,400,350.0
4416,Lime,08-09-2013,Kg,300,400,350.0
4487,Lime,09-09-2013,Kg,300,400,350.0
4558,Lime,10-09-2013,Kg,300,400,350.0
4629,Lime,11-09-2013,Kg,300,400,350.0
4700,Lime,12-09-2013,Kg,300,400,350.0
4769,Lime,13-09-2013,Kg,300,400,350.0
4838,Lime,15-09-2013,Kg,300,400,350.0
4908,Lime,16-09-2013,Kg,300,400,350.0
4978,Lime,17-09-2013,Kg,300,400,350.0
5048,Lime,19-09-2013,Kg,300,400,350.0
5117,Lime,20-09-2013,Kg,300,400,350.0
5187,Lime,22-09-2013,Kg,300,400,350.0
5258,Lime,23-09-2013,Kg,300,400,350.0
5330,Lime,24-09-2013,Kg,300,400,350.0
5401,Lime,25-09-2013,Kg,300,400,350.0
5471,Lime,26-09-2013,Kg,300,400,350.0
5543,Lime,27-09-2013,Kg,300,400,350.0
5616,Lime,29-09-2013,Kg,300,400,350.0
5689,Lime,30-09-2013,Kg,300,400,350.0
5760,Lime,01-10-2013,Kg,300,400,350.0
5833,Lime,02-10-2013,Kg,300,400,350.0
5906,Lime,03-10-2013,Kg,300,400,350.0
5980,Lime,04-10-2013,Kg,300,400,350.0
6052,Lime,06-10-2013,Kg,300,400,350.0
6127,Lime,07-10-2013,Kg,300,400,350.0
6203,Lime,08-10-2013,Kg,220,240,230.0
6277,Lime,09-10-2013,Kg,300,400,350.0
6352,Lime,10-10-2013,Kg,300,400,350.0
6427,Lime,11-10-2013,Kg,300,400,350.0
6498,Lime,12-10-2013,Kg,400,500,450.0
6545,Lime,13-10-2013,Kg,400,500,450.0
6580,Lime,14-10-2013,Kg,400,500,450.0
6616,Lime,15-10-2013,Kg,300,400,350.0
