SN,Commodity,Date,Unit,Minimum,Maximum,Average
33,Mushroom(Kanya),16-06-2013,Kg,150,160,155.0
106,Mushroom(Kanya),17-06-2013,Kg,180,200,190.0
179,Mushroom(Kanya),18-06-2013,Kg,180,200,190.0
253,Mushroom(Kanya),19-06-2013,Kg,180,200,190.0
326,Mushroom(Kanya),20-06-2013,Kg,200,220,210.0
400,Mushroom(Kanya),21-06-2013,Kg,180,200,190.0
474,Mushroom(Kanya),25-06-2013,Kg,150,170,160.0
547,Mushroom(Kanya),26-06-2013,Kg,150,160,155.0
620,Mushroom(Kanya),27-06-2013,Kg,170,180,175.0
690,Mushroom(Kanya),28-06-2013,Kg,150,170,160.0
761,Mushroom(Kanya),30-06-2013,Kg,120,180,150.0
830,Mushroom(Kanya),01-07-2013,Kg,160,180,170.0
899,Mushroom(Kanya),02-07-2013,Kg,170,180,175.0
969,Mushroom(Kanya),03-07-2013,Kg,170,180,175.0
1039,Mushroom(Kanya),04-07-2013,Kg,170,180,175.0
1108,Mushroom(Kanya),05-07-2013,Kg,170,180,175.0
1177,Mushroom(Kanya),09-07-2013,Kg,180,200,190.0
1248,Mushroom(Kanya),10-07-2013,Kg,180,200,190.0
1318,Mushroom(Kanya),11-07-2013,Kg,180,200,190.0
1387,Mushroom(Kanya),12-07-2013,Kg,190,200,195.0
1457,Mushroom(Kanya),14-07-2013,Kg,190,200,195.0
1526,Mushroom(Kanya),15-07-2013,Kg,200,220,210.0
1595,Mushroom(Kanya),16-07-2013,Kg,230,250,240.0
1664,Mushroom(Kanya),17-07-2013,Kg,200,220,210.0
1735,Mushroom(Kanya),18-07-2013,Kg,200,220,210.0
1806,Mushroom(Kanya),19-07-2013,Kg,180,200,190.0
1876,Mushroom(Kanya),21-07-2013,Kg,180,200,190.0
1948,Mushroom(Kanya),22-07-2013,Kg,150,180,165.0
2018,Mushroom(Kanya),23-07-2013,Kg,150,160,155.0
2087,Mushroom(Kanya),24-07-2013,Kg,150,170,160.0
2157,Mushroom(Kanya),25-07-2013,Kg,160,180,170.0
2227,Mushroom(Kanya),26-07-2013,Kg,180,200,190.0
2295,Mushroom(Kanya),28-07-2013,Kg,180,200,190.0
2364,Mushroom(Kanya),29-07-2013,Kg,150,160,155.0
2432,Mushroom(Kanya),30-07-2013,Kg,170,180,175.0
2499,Mushroom(Kanya),31-07-2013,Kg,160,180,170.0
2565,Mushroom(Kanya),01-08-2013,Kg,160,180,170.0
2633,Mushroom(Kanya),02-08-2013,Kg,180,200,190.0
2700,Mushroom(Kanya),04-08-2013,Kg,200,220,210.0
2767,Mushroom(Kanya),05-08-2013,Kg,200,220,210.0
2833,Mushroom(Kanya),06-08-2013,Kg,200,210,205.0
2898,Mushroom(Kanya),07-08-2013,Kg,220,240,230.0
2964,Mushroom(Kanya),08-08-2013,Kg,230,240,235.0
3032,Mushroom(Kanya),12-08-2013,Kg,190,200,195.0
3072,Mushroom(Kanya),13-08-2013,Kg,160,180,170.0
3140,Mushroom(Kanya),14-08-2013,Kg,180,200,190.0
3209,Mushroom(Kanya),15-08-2013,Kg,180,200,190.0
3278,Mushroom(Kanya),16-08-2013,Kg,200,220,210.0
3349,Mushroom(Kanya),18-08-2013,Kg,180,200,190.0
3420,Mushroom(Kanya),19-08-2013,Kg,180,200,190.0
3490,Mushroom(Kanya),20-08-2013,Kg,200,210,205.0
3561,Mushroom(Kanya),23-08-2013,Kg,180,200,190.0
3632,Mushroom(Kanya),25-08-2013,Kg,180,200,190.0
3703,Mushroom(Kanya),26-08-2013,Kg,180,200,190.0
3774,Mushroom(Kanya),27-08-2013,Kg,180,200,190.0
3844,Mushroom(Kanya),29-08-2013,Kg,18,200,109.0
3913,Mushroom(Kanya),30-08-2013,Kg,180,200,190.0
3983,Mushroom(Kanya),01-09-2013,Kg,180,200,190.0
4052,Mushroom(Kanya),02-09-2013,Kg,180,200,190.0
4119,Mushroom(Kanya),03-09-2013,Kg,180,200,190.0
4189,Mushroom(Kanya),04-09-2013,Kg,200,230,215.0
4259,Mushroom(Kanya),05-09-2013,Kg,250,260,255.0
4329,Mushroom(Kanya),06-09-2013,Kg,250,260,255.0
4399,Mushroom(Kanya),08-09-2013,Kg,180,200,190.0
4470,Mushroom(Kanya),09-09-2013,Kg,175,200,187.5
4541,Mushroom(Kanya),10-09-2013,Kg,150,180,165.0
4612,Mushroom(Kanya),11-09-2013,Kg,170,180,175.0
4683,Mushroom(Kanya),12-09-2013,Kg,170,180,175.0
4753,Mushroom(Kanya),13-09-2013,Kg,150,160,155.0
4822,Mushroom(Kanya),15-09-2013,Kg,150,180,165.0
4891,Mushroom(Kanya),16-09-2013,Kg,170,180,175.0
4961,Mushroom(Kanya),17-09-2013,Kg,160,180,170.0
5031,Mushroom(Kanya),19-09-2013,Kg,150,170,160.0
5101,Mushroom(Kanya),20-09-2013,Kg,150,170,160.0
5170,Mushroom(Kanya),22-09-2013,Kg,150,160,155.0
5241,Mushroom(Kanya),23-09-2013,Kg,150,160,155.0
5313,Mushroom(Kanya),24-09-2013,Kg,150,160,155.0
5385,Mushroom(Kanya),25-09-2013,Kg,150,160,155.0
5454,Mushroom(Kanya),26-09-2013,Kg,150,160,155.0
5526,Mushroom(Kanya),27-09-2013,Kg,150,160,155.0
5599,Mushroom(Kanya),29-09-2013,Kg,140,150,145.0
5672,Mushroom(Kanya),30-09-2013,Kg,150,160,155.0
5743,Mushroom(Kanya),01-10-2013,Kg,160,170,165.0
5816,Mushroom(Kanya),02-10-2013,Kg,150,160,155.0
5889,Mushroom(Kanya),03-10-2013,Kg,150,160,155.0
5963,Mushroom(Kanya),04-10-2013,Kg,150,160,155.0
6035,Mushroom(Kanya),06-10-2013,Kg,140,150,145.0
6110,Mushroom(Kanya),07-10-2013,Kg,150,160,155.0
6185,Mushroom(Kanya),08-10-2013,Kg,150,160,155.0
6260,Mushroom(Kanya),09-10-2013,Kg,160,170,165.0
6335,Mushroom(Kanya),10-10-2013,Kg,150,160,155.0
6410,Mushroom(Kanya),11-10-2013,Kg,170,180,175.0
6482,Mushroom(Kanya),12-10-2013,Kg,180,200,190.0
6539,Mushroom(Kanya),13-10-2013,Kg,180,200,190.0
6575,Mushroom(Kanya),14-10-2013,Kg,150,160,155.0
6610,Mushroom(Kanya),15-10-2013,Kg,140,150,145.0
6657,Mushroom(Kanya),16-10-2013,Kg,140,150,145.0
6728,Mushroom(Kanya),17-10-2013,Kg,150,160,155.0
6797,Mushroom(Kanya),20-10-2013,Kg,140,150,145.0
6870,Mushroom(Kanya),21-10-2013,Kg,150,160,155.0
6940,Mushroom(Kanya),22-10-2013,Kg,120,130,125.0
7011,Mushroom(Kanya),23-10-2013,Kg,130,140,135.0
7081,Mushroom(Kanya),24-10-2013,Kg,130,140,135.0
7152,Mushroom(Kanya),25-10-2013,Kg,140,150,145.0
7224,Mushroom(Kanya),27-10-2013,Kg,130,140,135.0
7298,Mushroom(Kanya),28-10-2013,Kg,120,140,130.0
7371,Mushroom(Kanya),29-10-2013,Kg,130,140,135.0
7445,Mushroom(Kanya),30-10-2013,Kg,130,140,135.0
7517,Mushroom(Kanya),31-10-2013,Kg,130,140,135.0
7591,Mushroom(Kanya),01-11-2013,Kg,120,130,125.0
7663,Mushroom(Kanya),03-11-2013,Kg,140,160,150.0
7734,Mushroom(Kanya),04-11-2013,Kg,180,200,190.0
7801,Mushroom(Kanya),05-11-2013,Kg,180,200,190.0
7853,Mushroom(Kanya),06-11-2013,Kg,150,160,155.0
7908,Mushroom(Kanya),07-11-2013,Kg,120,140,130.0
7974,Mushroom(Kanya),10-11-2013,Kg,130,140,135.0
8038,Mushroom(Kanya),11-11-2013,Kg,120,130,125.0
8098,Mushroom(Kanya),12-11-2013,Kg,120,130,125.0
8163,Mushroom(Kanya),13-11-2013,Kg,130,140,135.0
