SN,Commodity,Date,Unit,Minimum,Maximum,Average
4,Onion Dry (Indian),16-06-2013,Kg,28,30,29.0
78,Onion Dry (Indian),17-06-2013,Kg,29,30,29.5
151,Onion Dry (Indian),18-06-2013,Kg,33,35,34.0
224,Onion Dry (Indian),19-06-2013,Kg,34,35,34.5
297,Onion Dry (Indian),20-06-2013,Kg,35,36,35.5
371,Onion Dry (Indian),21-06-2013,Kg,34,35,34.5
445,Onion Dry (Indian),25-06-2013,Kg,33,35,34.0
518,Onion Dry (Indian),26-06-2013,Kg,33,35,34.0
591,Onion Dry (Indian),27-06-2013,Kg,35,37,36.0
663,Onion Dry (Indian),28-06-2013,Kg,36,38,37.0
733,Onion Dry (Indian),30-06-2013,Kg,36,38,37.0
803,Onion Dry (Indian),01-07-2013,Kg,37,38,37.5
873,Onion Dry (Indian),02-07-2013,Kg,38,40,39.0
942,Onion Dry (Indian),03-07-2013,Kg,40,42,41.0
1012,Onion Dry (Indian),04-07-2013,Kg,40,42,41.0
1082,Onion Dry (Indian),05-07-2013,Kg,40,42,41.0
1151,Onion Dry (Indian),09-07-2013,Kg,44,46,45.0
1221,Onion Dry (Indian),10-07-2013,Kg,45,47,46.0
1291,Onion Dry (Indian),11-07-2013,Kg,44,46,45.0
1360,Onion Dry (Indian),12-07-2013,Kg,44,46,45.0
1430,Onion Dry (Indian),14-07-2013,Kg,44,46,45.0
1500,Onion Dry (Indian),15-07-2013,Kg,44,46,45.0
1568,Onion Dry (Indian),16-07-2013,Kg,46,48,47.0
1637,Onion Dry (Indian),17-07-2013,Kg,48,50,49.0
1708,Onion Dry (Indian),18-07-2013,Kg,52,55,53.5
1779,Onion Dry (Indian),19-07-2013,Kg,50,53,51.5
1849,Onion Dry (Indian),21-07-2013,Kg,50,53,51.5
1920,Onion Dry (Indian),22-07-2013,Kg,50,52,51.0
1991,Onion Dry (Indian),23-07-2013,Kg,50,52,51.0
2060,Onion Dry (Indian),24-07-2013,Kg,50,52,51.0
2129,Onion Dry (Indian),25-07-2013,Kg,49,52,50.5
2199,Onion Dry (Indian),26-07-2013,Kg,49,52,50.5
2267,Onion Dry (Indian),28-07-2013,Kg,50,51,50.5
2337,Onion Dry (Indian),29-07-2013,Kg,50,52,51.0
2405,Onion Dry (Indian),30-07-2013,Kg,50,52,51.0
2472,Onion Dry (Indian),31-07-2013,Kg,50,52,51.0
2538,Onion Dry (Indian),01-08-2013,Kg,51,53,52.0
2605,Onion Dry (Indian),02-08-2013,Kg,51,53,52.0
2673,Onion Dry (Indian),04-08-2013,Kg,56,58,57.0
2740,Onion Dry (Indian),05-08-2013,Kg,58,60,59.0
2806,Onion Dry (Indian),06-08-2013,Kg,60,62,61.0
2871,Onion Dry (Indian),07-08-2013,Kg,60,62,61.0
2937,Onion Dry (Indian),08-08-2013,Kg,60,62,61.0
3005,Onion Dry (Indian),12-08-2013,Kg,80,82,81.0
3045,Onion Dry (Indian),13-08-2013,Kg,88,90,89.0
3113,Onion Dry (Indian),14-08-2013,Kg,88,92,90.0
3183,Onion Dry (Indian),15-08-2013,Kg,88,90,89.0
3251,Onion Dry (Indian),16-08-2013,Kg,85,90,87.5
3322,Onion Dry (Indian),18-08-2013,Kg,80,85,82.5
3393,Onion Dry (Indian),19-08-2013,Kg,80,85,82.5
3463,Onion Dry (Indian),20-08-2013,Kg,80,82,81.0
3534,Onion Dry (Indian),23-08-2013,Kg,75,80,77.5
3605,Onion Dry (Indian),25-08-2013,Kg,75,80,77.5
3676,Onion Dry (Indian),26-08-2013,Kg,75,80,77.5
3747,Onion Dry (Indian),27-08-2013,Kg,75,80,77.5
3817,Onion Dry (Indian),29-08-2013,Kg,80,82,81.0
3886,Onion Dry (Indian),30-08-2013,Kg,75,80,77.5
3957,Onion Dry (Indian),01-09-2013,Kg,75,80,77.5
4025,Onion Dry (Indian),02-09-2013,Kg,78,80,79.0
4094,Onion Dry (Indian),03-09-2013,Kg,78,82,80.0
4161,Onion Dry (Indian),04-09-2013,Kg,75,80,77.5
4231,Onion Dry (Indian),05-09-2013,Kg,80,85,82.5
4301,Onion Dry (Indian),06-09-2013,Kg,80,85,82.5
4371,Onion Dry (Indian),08-09-2013,Kg,78,80,79.0
4442,Onion Dry (Indian),09-09-2013,Kg,80,82,81.0
4513,Onion Dry (Indian),10-09-2013,Kg,80,82,81.0
4584,Onion Dry (Indian),11-09-2013,Kg,80,85,82.5
4655,Onion Dry (Indian),12-09-2013,Kg,85,90,87.5
4725,Onion Dry (Indian),13-09-2013,Kg,85,90,87.5
4794,Onion Dry (Indian),15-09-2013,Kg,95,100,97.5
4863,Onion Dry (Indian),16-09-2013,Kg,95,97,96.0
4933,Onion Dry (Indian),17-09-2013,Kg,100,105,102.5
5003,Onion Dry (Indian),19-09-2013,Kg,100,105,102.5
5073,Onion Dry (Indian),20-09-2013,Kg,100,105,102.5
5142,Onion Dry (Indian),22-09-2013,Kg,100,105,102.5
5213,Onion Dry (Indian),23-09-2013,Kg,100,105,102.5
5284,Onion Dry (Indian),24-09-2013,Kg,95,100,97.5
5356,Onion Dry (Indian),25-09-2013,Kg,95,100,97.5
5427,Onion Dry (Indian),26-09-2013,Kg,95,100,97.5
5498,Onion Dry (Indian),27-09-2013,Kg,90,95,92.5
5570,Onion Dry (Indian),29-09-2013,Kg,90,95,92.5
5643,Onion Dry (Indian),30-09-2013,Kg,90,95,92.5
5714,Onion Dry (Indian),01-10-2013,Kg,90,95,92.5
5786,Onion Dry (Indian),02-10-2013,Kg,90,95,92.5
5860,Onion Dry (Indian),03-10-2013,Kg,95,100,97.5
5933,Onion Dry (Indian),04-10-2013,Kg,90,95,92.5
6007,Onion Dry (Indian),06-10-2013,Kg,88,92,90.0
6079,Onion Dry (Indian),07-10-2013,Kg,85,90,87.5
6154,Onion Dry (Indian),08-10-2013,Kg,85,90,87.5
6229,Onion Dry (Indian),09-10-2013,Kg,90,95,92.5
6304,Onion Dry (Indian),10-10-2013,Kg,92,96,94.0
6379,Onion Dry (Indian),11-10-2013,Kg,95,100,97.5
6454,Onion Dry (Indian),12-10-2013,Kg,90,100,95.0
6524,Onion Dry (Indian),13-10-2013,Kg,90,95,92.5
6563,Onion Dry (Indian),14-10-2013,Kg,95,100,97.5
6599,Onion Dry (Indian),15-10-2013,Kg,95,100,97.5
6635,Onion Dry (Indian),16-10-2013,Kg,95,100,97.5
6700,Onion Dry (Indian),17-10-2013,Kg,95,100,97.5
6768,Onion Dry (Indian),20-10-2013,Kg,100,110,105.0
6841,Onion Dry (Indian),21-10-2013,Kg,105,110,107.5
6913,Onion Dry (Indian),22-10-2013,Kg,105,110,107.5
6984,Onion Dry (Indian),23-10-2013,Kg,110,115,112.5
7053,Onion Dry (Indian),24-10-2013,Kg,115,120,117.5
7123,Onion Dry (Indian),25-10-2013,Kg,120,125,122.5
7195,Onion Dry (Indian),27-10-2013,Kg,110,120,115.0
7267,Onion Dry (Indian),28-10-2013,Kg,100,105,102.5
7340,Onion Dry (Indian),29-10-2013,Kg,100,105,102.5
7414,Onion Dry (Indian),30-10-2013,Kg,85,95,90.0
7488,Onion Dry (Indian),31-10-2013,Kg,90,95,92.5
7560,Onion Dry (Indian),01-11-2013,Kg,100,105,102.5
7633,Onion Dry (Indian),03-11-2013,Kg,95,100,97.5
7705,Onion Dry (Indian),04-11-2013,Kg,90,100,95.0
7779,Onion Dry (Indian),05-11-2013,Kg,90,100,95.0
7834,Onion Dry (Indian),06-11-2013,Kg,90,100,95.0
7881,Onion Dry (Indian),07-11-2013,Kg,90,100,95.0
7946,Onion Dry (Indian),10-11-2013,Kg,100,110,105.0
8012,Onion Dry (Indian),11-11-2013,Kg,100,110,105.0
8073,Onion Dry (Indian),12-11-2013,Kg,100,110,105.0
8136,Onion Dry (Indian),13-11-2013,Kg,100,110,105.0
8200,Onion Dry (Indian),14-11-2013,Kg,105,112,108.5
8263,Onion Dry (Indian),15-11-2013,Kg,103,110,106.5
8328,Onion Dry (Indian),16-11-2013,Kg,103,110,106.5
8394,Onion Dry (Indian),17-11-2013,Kg,100,105,102.5
8458,Onion Dry (Indian),18-11-2013,Kg,100,105,102.5
8523,Onion Dry (Indian),20-11-2013,Kg,80,90,85.0
8585,Onion Dry (Indian),21-11-2013,Kg,80,85,82.5
8653,Onion Dry (Indian),22-11-2013,Kg,75,80,77.5
8724,Onion Dry (Indian),24-11-2013,Kg,65,70,67.5
8794,Onion Dry (Indian),25-11-2013,Kg,65,70,67.5
8863,Onion Dry (Indian),26-11-2013,Kg,62,65,63.5
8932,Onion Dry (Indian),27-11-2013,Kg,60,65,62.5
9001,Onion Dry (Indian),28-11-2013,Kg,58,60,59.0
9070,Onion Dry (Indian),29-11-2013,Kg,58,60,59.0
9142,Onion Dry (Indian),01-12-2013,Kg,55,60,57.5
9214,Onion Dry (Indian),02-12-2013,Kg,45,50,47.5
9284,Onion Dry (Indian),03-12-2013,Kg,45,50,47.5
9357,Onion Dry (Indian),04-12-2013,Kg,45,50,47.5
9429,Onion Dry (Indian),05-12-2013,Kg,45,50,47.5
9501,Onion Dry (Indian),06-12-2013,Kg,45,50,47.5
9573,Onion Dry (Indian),08-12-2013,Kg,45,50,47.5
9644,Onion Dry (Indian),09-12-2013,Kg,45,50,47.5
9717,Onion Dry (Indian),10-12-2013,Kg,48,50,49.0
9790,Onion Dry (Indian),11-12-2013,Kg,48,50,49.0
9860,Onion Dry (Indian),12-12-2013,Kg,48,50,49.0
9931,Onion Dry (Indian),13-12-2013,Kg,48,50,49.0
10002,Onion Dry (Indian),15-12-2013,Kg,42,45,43.5
10074,Onion Dry (Indian),16-12-2013,Kg,40,42,41.0
10146,Onion Dry (Indian),18-12-2013,Kg,38,40,39.0
10221,Onion Dry (Indian),19-12-2013,Kg,37,40,38.5
10295,Onion Dry (Indian),20-12-2013,Kg,37,40,38.5
10370,Onion Dry (Indian),22-12-2013,Kg,35,37,36.0
10443,Onion Dry (Indian),23-12-2013,Kg,34,36,35.0
10520,Onion Dry (Indian),24-12-2013,Kg,34,36,35.0
10597,Onion Dry (Indian),26-12-2013,Kg,31,33,32.0
10672,Onion Dry (Indian),27-12-2013,Kg,31,33,32.0
10746,Onion Dry (Indian),29-12-2013,Kg,31,33,32.0
10823,Onion Dry (Indian),31-12-2013,Kg,32,35,33.5
10900,Onion Dry (Indian),01-01-2014,Kg,35,36,35.5
10978,Onion Dry (Indian),02-01-2014,Kg,34,35,34.5
11056,Onion Dry (Indian),03-01-2014,Kg,34,36,35.0
11133,Onion Dry (Indian),05-01-2014,Kg,34,35,34.5
11209,Onion Dry (Indian),06-01-2014,Kg,34,35,34.5
11286,Onion Dry (Indian),07-01-2014,Kg,33,34,33.5
11364,Onion Dry (Indian),08-01-2014,Kg,33,34,33.5
11441,Onion Dry (Indian),09-01-2014,Kg,34,36,35.0
11519,Onion Dry (Indian),10-01-2014,Kg,33,35,34.0
11596,Onion Dry (Indian),12-01-2014,Kg,33,34,33.5
11673,Onion Dry (Indian),13-01-2014,Kg,33,34,33.5
11750,Onion Dry (Indian),14-01-2014,Kg,30,32,31.0
11827,Onion Dry (Indian),16-01-2014,Kg,30,32,31.0
11903,Onion Dry (Indian),17-01-2014,Kg,30,32,31.0
