SN,Commodity,Date,Unit,Minimum,Maximum,Average
3,Potato White,16-06-2013,Kg,15,16,15.5
77,Potato White,17-06-2013,Kg,15,16,15.5
150,Potato White,18-06-2013,Kg,15,16,15.5
223,Potato White,19-06-2013,Kg,15,16,15.5
296,Potato White,20-06-2013,Kg,15,16,15.5
370,Potato White,21-06-2013,Kg,16,17,16.5
444,Potato White,25-06-2013,Kg,17,18,17.5
517,Potato White,26-06-2013,Kg,17,18,17.5
590,Potato White,27-06-2013,Kg,19,20,19.5
662,Potato White,28-06-2013,Kg,19,20,19.5
732,Potato White,30-06-2013,Kg,19,20,19.5
802,Potato White,01-07-2013,Kg,19,20,19.5
872,Potato White,02-07-2013,Kg,18,20,19.0
941,Potato White,03-07-2013,Kg,18,19,18.5
1011,Potato White,04-07-2013,Kg,18,19,18.5
1081,Potato White,05-07-2013,Kg,18,19,18.5
1150,Potato White,09-07-2013,Kg,18,20,19.0
1220,Potato White,10-07-2013,Kg,18,20,19.0
1290,Potato White,11-07-2013,Kg,18,20,19.0
1359,Potato White,12-07-2013,Kg,19,20,19.5
1429,Potato White,14-07-2013,Kg,18,19,18.5
1499,Potato White,15-07-2013,Kg,19,20,19.5
1567,Potato White,16-07-2013,Kg,19,20,19.5
1636,Potato White,17-07-2013,Kg,18,19,18.5
1707,Potato White,18-07-2013,Kg,19,20,19.5
1778,Potato White,19-07-2013,Kg,18,19,18.5
1848,Potato White,21-07-2013,Kg,19,20,19.5
1919,Potato White,22-07-2013,Kg,19,20,19.5
1990,Potato White,23-07-2013,Kg,18,19,18.5
2059,Potato White,24-07-2013,Kg,18,19,18.5
2128,Potato White,25-07-2013,Kg,18,19,18.5
2198,Potato White,26-07-2013,Kg,18,19,18.5
2266,Potato White,28-07-2013,Kg,20,21,20.5
2336,Potato White,29-07-2013,Kg,20,21,20.5
2404,Potato White,30-07-2013,Kg,20,21,20.5
2471,Potato White,31-07-2013,Kg,20,21,20.5
2537,Potato White,01-08-2013,Kg,20,21,20.5
2604,Potato White,02-08-2013,Kg,20,21,20.5
2672,Potato White,04-08-2013,Kg,20,21,20.5
2739,Potato White,05-08-2013,Kg,22,23,22.5
2805,Potato White,06-08-2013,Kg,22,23,22.5
2870,Potato White,07-08-2013,Kg,23,24,23.5
2936,Potato White,08-08-2013,Kg,22,23,22.5
3004,Potato White,12-08-2013,Kg,24,24,24.0
3044,Potato White,13-08-2013,Kg,23,24,23.5
3112,Potato White,14-08-2013,Kg,23,24,23.5
3182,Potato White,15-08-2013,Kg,23,24,23.5
3250,Potato White,16-08-2013,Kg,24,25,24.5
3321,Potato White,18-08-2013,Kg,24,25,24.5
3392,Potato White,19-08-2013,Kg,24,25,24.5
3462,Potato White,20-08-2013,Kg,24,25,24.5
3533,Potato White,23-08-2013,Kg,26,27,26.5
3604,Potato White,25-08-2013,Kg,26,27,26.5
3675,Potato White,26-08-2013,Kg,27,28,27.5
3746,Potato White,27-08-2013,Kg,26,28,27.0
3816,Potato White,29-08-2013,Kg,26,27,26.5
3885,Potato White,30-08-2013,Kg,27,28,27.5
3956,Potato White,01-09-2013,Kg,26,27,26.5
