SN,Commodity,Date,Unit,Minimum,Maximum,Average
22,Pumpkin,16-06-2013,Kg,18,20,19.0
96,Pumpkin,17-06-2013,Kg,18,20,19.0
168,Pumpkin,18-06-2013,Kg,18,20,19.0
242,Pumpkin,19-06-2013,Kg,18,20,19.0
315,Pumpkin,20-06-2013,Kg,18,20,19.0
389,Pumpkin,21-06-2013,Kg,18,20,19.0
463,Pumpkin,25-06-2013,Kg,18,20,19.0
535,Pumpkin,26-06-2013,Kg,16,20,18.0
608,Pumpkin,27-06-2013,Kg,16,18,17.0
679,Pumpkin,28-06-2013,Kg,16,20,18.0
750,Pumpkin,30-06-2013,Kg,16,20,18.0
819,Pumpkin,01-07-2013,Kg,16,20,18.0
888,Pumpkin,02-07-2013,Kg,16,20,18.0
958,Pumpkin,03-07-2013,Kg,16,20,18.0
1028,Pumpkin,04-07-2013,Kg,16,20,18.0
1097,Pumpkin,05-07-2013,Kg,18,22,20.0
1166,Pumpkin,09-07-2013,Kg,18,20,19.0
1237,Pumpkin,10-07-2013,Kg,18,20,19.0
1307,Pumpkin,11-07-2013,Kg,18,20,19.0
1376,Pumpkin,12-07-2013,Kg,18,20,19.0
1446,Pumpkin,14-07-2013,Kg,18,20,19.0
1515,Pumpkin,15-07-2013,Kg,18,20,19.0
1584,Pumpkin,16-07-2013,Kg,18,20,19.0
1653,Pumpkin,17-07-2013,Kg,18,20,19.0
1724,Pumpkin,18-07-2013,Kg,18,20,19.0
1795,Pumpkin,19-07-2013,Kg,25,30,27.5
1865,Pumpkin,21-07-2013,Kg,18,20,19.0
1937,Pumpkin,22-07-2013,Kg,18,20,19.0
2007,Pumpkin,23-07-2013,Kg,18,20,19.0
2076,Pumpkin,24-07-2013,Kg,18,20,19.0
2146,Pumpkin,25-07-2013,Kg,18,20,19.0
2216,Pumpkin,26-07-2013,Kg,18,20,19.0
2284,Pumpkin,28-07-2013,Kg,18,20,19.0
2353,Pumpkin,29-07-2013,Kg,18,20,19.0
2421,Pumpkin,30-07-2013,Kg,18,20,19.0
2488,Pumpkin,31-07-2013,Kg,18,20,19.0
2554,Pumpkin,01-08-2013,Kg,18,20,19.0
2622,Pumpkin,02-08-2013,Kg,18,20,19.0
2689,Pumpkin,04-08-2013,Kg,18,20,19.0
2756,Pumpkin,05-08-2013,Kg,18,20,19.0
2822,Pumpkin,06-08-2013,Kg,24,26,25.0
2887,Pumpkin,07-08-2013,Kg,24,26,25.0
2953,Pumpkin,08-08-2013,Kg,24,26,25.0
3021,Pumpkin,12-08-2013,Kg,25,30,27.5
3061,Pumpkin,13-08-2013,Kg,24,26,25.0
3129,Pumpkin,14-08-2013,Kg,26,30,28.0
3199,Pumpkin,15-08-2013,Kg,28,30,29.0
3267,Pumpkin,16-08-2013,Kg,28,30,29.0
3338,Pumpkin,18-08-2013,Kg,28,30,29.0
