SN,Commodity,Date,Unit,Minimum,Maximum,Average
8,Raddish Red,16-06-2013,Kg,35,40,37.5
82,Raddish Red,17-06-2013,Kg,35,40,37.5
155,Raddish Red,18-06-2013,Kg,35,40,37.5
228,Raddish Red,19-06-2013,Kg,35,40,37.5
301,Raddish Red,20-06-2013,Kg,35,40,37.5
375,Raddish Red,21-06-2013,Kg,35,40,37.5
449,Raddish Red,25-06-2013,Kg,40,45,42.5
522,Raddish Red,26-06-2013,Kg,35,40,37.5
595,Raddish Red,27-06-2013,Kg,35,40,37.5
667,Raddish Red,28-06-2013,Kg,35,40,37.5
737,Raddish Red,30-06-2013,Kg,45,50,47.5
807,Raddish Red,01-07-2013,Kg,45,50,47.5
3009,Raddish Red,12-08-2013,Kg,18,20,19.0
6083,Raddish Red,07-10-2013,Kg,35,40,37.5
6158,Raddish Red,08-10-2013,Kg,40,45,42.5
6233,Raddish Red,09-10-2013,Kg,40,45,42.5
6308,Raddish Red,10-10-2013,Kg,40,45,42.5
6383,Raddish Red,11-10-2013,Kg,40,45,42.5
6458,Raddish Red,12-10-2013,Kg,40,45,42.5
6639,Raddish Red,16-10-2013,Kg,40,45,42.5
6772,Raddish Red,20-10-2013,Kg,38,40,39.0
6845,Raddish Red,21-10-2013,Kg,40,45,42.5
7057,Raddish Red,24-10-2013,Kg,40,45,42.5
7127,Raddish Red,25-10-2013,Kg,45,50,47.5
7199,Raddish Red,27-10-2013,Kg,45,50,47.5
7271,Raddish Red,28-10-2013,Kg,55,60,57.5
7344,Raddish Red,29-10-2013,Kg,35,40,37.5
7418,Raddish Red,30-10-2013,Kg,35,40,37.5
7492,Raddish Red,31-10-2013,Kg,35,40,37.5
7564,Raddish Red,01-11-2013,Kg,40,45,42.5
7637,Raddish Red,03-11-2013,Kg,40,45,42.5
7709,Raddish Red,04-11-2013,Kg,45,50,47.5
7885,Raddish Red,07-11-2013,Kg,40,45,42.5
7950,Raddish Red,10-11-2013,Kg,40,50,45.0
8016,Raddish Red,11-11-2013,Kg,40,50,45.0
8077,Raddish Red,12-11-2013,Kg,35,45,40.0
8140,Raddish Red,13-11-2013,Kg,35,45,40.0
8204,Raddish Red,14-11-2013,Kg,40,45,42.5
8267,Raddish Red,15-11-2013,Kg,40,45,42.5
8332,Raddish Red,16-11-2013,Kg,35,40,37.5
8398,Raddish Red,17-11-2013,Kg,35,40,37.5
8462,Raddish Red,18-11-2013,Kg,35,40,37.5
8526,Raddish Red,20-11-2013,Kg,35,40,37.5
8589,Raddish Red,21-11-2013,Kg,35,40,37.5
8657,Raddish Red,22-11-2013,Kg,30,35,32.5
8728,Raddish Red,24-11-2013,Kg,35,40,37.5
8798,Raddish Red,25-11-2013,Kg,35,40,37.5
8867,Raddish Red,26-11-2013,Kg,25,30,27.5
8936,Raddish Red,27-11-2013,Kg,25,30,27.5
9005,Raddish Red,28-11-2013,Kg,25,30,27.5
9074,Raddish Red,29-11-2013,Kg,25,30,27.5
9146,Raddish Red,01-12-2013,Kg,25,30,27.5
9218,Raddish Red,02-12-2013,Kg,25,30,27.5
