SN,Commodity,Date,Unit,Minimum,Maximum,Average
28,Spinach Leaf,16-06-2013,Kg,50.0,55.0,52.5
101,Spinach Leaf,17-06-2013,Kg,45.0,50.0,47.5
174,Spinach Leaf,18-06-2013,Kg,45.0,50.0,47.5
248,Spinach Leaf,19-06-2013,Kg,40.0,45.0,42.5
321,Spinach Leaf,20-06-2013,Kg,45.0,50.0,47.5
395,Spinach Leaf,21-06-2013,Kg,45.0,50.0,47.5
469,Spinach Leaf,25-06-2013,Kg,45.0,50.0,47.5
542,Spinach Leaf,26-06-2013,Kg,45.0,50.0,47.5
615,Spinach Leaf,27-06-2013,Kg,40.0,45.0,42.5
685,Spinach Leaf,28-06-2013,Kg,40.0,45.0,42.5
756,Spinach Leaf,30-06-2013,Kg,40.0,45.0,42.5
825,Spinach Leaf,01-07-2013,Kg,40.0,45.0,42.5
894,Spinach Leaf,02-07-2013,Kg,40.0,45.0,42.5
964,Spinach Leaf,03-07-2013,Kg,40.0,45.0,42.5
1034,Spinach Leaf,04-07-2013,Kg,40.0,45.0,42.5
1103,Spinach Leaf,05-07-2013,Kg,35.0,40.0,37.5
1172,Spinach Leaf,09-07-2013,Kg,40.0,45.0,42.5
1243,Spinach Leaf,10-07-2013,Kg,35.0,40.0,37.5
1313,Spinach Leaf,11-07-2013,Kg,40.0,45.0,42.5
1382,Spinach Leaf,12-07-2013,Kg,40.0,45.0,42.5
1452,Spinach Leaf,14-07-2013,Kg,40.0,45.0,42.5
1521,Spinach Leaf,15-07-2013,Kg,35.0,40.0,37.5
1590,Spinach Leaf,16-07-2013,Kg,35.0,40.0,37.5
1659,Spinach Leaf,17-07-2013,Kg,35.0,40.0,37.5
1730,Spinach Leaf,18-07-2013,Kg,35.0,40.0,37.5
1801,Spinach Leaf,19-07-2013,Kg,30.0,35.0,32.5
1871,Spinach Leaf,21-07-2013,Kg,35.0,40.0,37.5
1943,Spinach Leaf,22-07-2013,Kg,35.0,40.0,37.5
2013,Spinach Leaf,23-07-2013,Kg,35.0,40.0,37.5
2082,Spinach Leaf,24-07-2013,Kg,35.0,40.0,37.5
2152,Spinach Leaf,25-07-2013,Kg,35.0,40.0,37.5
2222,Spinach Leaf,26-07-2013,Kg,30.0,35.0,32.5
2290,Spinach Leaf,28-07-2013,Kg,30.0,35.0,32.5
2359,Spinach Leaf,29-07-2013,Kg,30.0,35.0,32.5
2427,Spinach Leaf,30-07-2013,Kg,30.0,35.0,32.5
2494,Spinach Leaf,31-07-2013,Kg,30.0,35.0,32.5
2560,Spinach Leaf,01-08-2013,Kg,30.0,35.0,32.5
2628,Spinach Leaf,02-08-2013,Kg,30.0,35.0,32.5
2695,Spinach Leaf,04-08-2013,Kg,30.0,35.0,32.5
2762,Spinach Leaf,05-08-2013,Kg,30.0,35.0,32.5
2828,Spinach Leaf,06-08-2013,Kg,40.0,45.0,42.5
2893,Spinach Leaf,07-08-2013,Kg,45.0,50.0,47.5
2959,Spinach Leaf,08-08-2013,Kg,45.0,50.0,47.5
3027,Spinach Leaf,12-08-2013,Kg,60.0,70.0,65.0
3067,Spinach Leaf,13-08-2013,Kg,45.0,50.0,47.5
3135,Spinach Leaf,14-08-2013,Kg,50.0,55.0,52.5
3204,Spinach Leaf,15-08-2013,Kg,55.0,60.0,57.5
3273,Spinach Leaf,16-08-2013,Kg,55.0,60.0,57.5
3344,Spinach Leaf,18-08-2013,Kg,55.0,60.0,57.5
3415,Spinach Leaf,19-08-2013,Kg,55.0,60.0,57.5
3485,Spinach Leaf,20-08-2013,Kg,55.0,60.0,57.5
3556,Spinach Leaf,23-08-2013,Kg,65.0,70.0,67.5
