SN,Commodity,Date,Unit,Minimum,Maximum,Average
2,Potato Red,16-06-2013,Kg,20,21,20.5
76,Potato Red,17-06-2013,Kg,20,21,20.5
149,Potato Red,18-06-2013,Kg,19,20,19.5
222,Potato Red,19-06-2013,Kg,20,21,20.5
295,Potato Red,20-06-2013,Kg,20,21,20.5
369,Potato Red,21-06-2013,Kg,21,22,21.5
443,Potato Red,25-06-2013,Kg,23,25,24.0
516,Potato Red,26-06-2013,Kg,22,23,22.5
589,Potato Red,27-06-2013,Kg,22,24,23.0
661,Potato Red,28-06-2013,Kg,23,24,23.5
731,Potato Red,30-06-2013,Kg,23,24,23.5
801,Potato Red,01-07-2013,Kg,22,24,23.0
871,Potato Red,02-07-2013,Kg,23,24,23.5
940,Potato Red,03-07-2013,Kg,22,23,22.5
1010,Potato Red,04-07-2013,Kg,23,24,23.5
1080,Potato Red,05-07-2013,Kg,22,24,23.0
1149,Potato Red,09-07-2013,Kg,23,24,23.5
1219,Potato Red,10-07-2013,Kg,23,24,23.5
1289,Potato Red,11-07-2013,Kg,23,24,23.5
1358,Potato Red,12-07-2013,Kg,23,24,23.5
1428,Potato Red,14-07-2013,Kg,24,24,24.0
1498,Potato Red,15-07-2013,Kg,23,24,23.5
1566,Potato Red,16-07-2013,Kg,23,24,23.5
1635,Potato Red,17-07-2013,Kg,23,24,23.5
1706,Potato Red,18-07-2013,Kg,23,24,23.5
1777,Potato Red,19-07-2013,Kg,23,24,23.5
1847,Potato Red,21-07-2013,Kg,24,25,24.5
1918,Potato Red,22-07-2013,Kg,23,24,23.5
1989,Potato Red,23-07-2013,Kg,23,24,23.5
2058,Potato Red,24-07-2013,Kg,23,24,23.5
2127,Potato Red,25-07-2013,Kg,23,24,23.5
2197,Potato Red,26-07-2013,Kg,23,24,23.5
2265,Potato Red,28-07-2013,Kg,23,24,23.5
2335,Potato Red,29-07-2013,Kg,23,24,23.5
2403,Potato Red,30-07-2013,Kg,23,24,23.5
2470,Potato Red,31-07-2013,Kg,23,24,23.5
2536,Potato Red,01-08-2013,Kg,23,24,23.5
2603,Potato Red,02-08-2013,Kg,23,24,23.5
2671,Potato Red,04-08-2013,Kg,27,28,27.5
2738,Potato Red,05-08-2013,Kg,26,27,26.5
2804,Potato Red,06-08-2013,Kg,26,27,26.5
2869,Potato Red,07-08-2013,Kg,26,27,26.5
2935,Potato Red,08-08-2013,Kg,25,27,26.0
3003,Potato Red,12-08-2013,Kg,25,26,25.5
3043,Potato Red,13-08-2013,Kg,27,28,27.5
3111,Potato Red,14-08-2013,Kg,27,28,27.5
3181,Potato Red,15-08-2013,Kg,27,28,27.5
3249,Potato Red,16-08-2013,Kg,28,29,28.5
3320,Potato Red,18-08-2013,Kg,29,30,29.5
3391,Potato Red,19-08-2013,Kg,29,30,29.5
3461,Potato Red,20-08-2013,Kg,29,30,29.5
3532,Potato Red,23-08-2013,Kg,30,32,31.0
3603,Potato Red,25-08-2013,Kg,30,32,31.0
3674,Potato Red,26-08-2013,Kg,30,32,31.0
3745,Potato Red,27-08-2013,Kg,30,32,31.0
3815,Potato Red,29-08-2013,Kg,30,32,31.0
3884,Potato Red,30-08-2013,Kg,30,32,31.0
